id,titre,lien,note,nb_avis,img_url,category
35,"Pavé de saumon à l’unilatérale, pour une cuisson parfaite à tous les coups",/recettes/recette_pave-de-saumon-a-l-unilaterale-pour-une-cuisson-parfaite-a-tous-les-coups_372636.aspx,4.3/5,"
            3 avis
        ",https://assets.afcdn.com/recipe/20190712/95075_w225h225c1cx800cy530cxt0cyt0cxb1599cyb1060.jpg,poisson
36,Filets de Saint-Pierre au beurre d'orange,/recettes/recette_filets-de-saint-pierre-au-beurre-d-orange_19152.aspx,4.8/5,"
            31 avis
        ",https://assets.afcdn.com/recipe/20151030/52044_w225h225c1cx1180cy1214.jpg,poisson
37,Dorade au four,/recettes/recette_dorade-au-four_339422.aspx,2.8/5,"
            9 avis
        ",https://assets.afcdn.com/recipe/20170226/33375_w225h225c1cx1512cy2016.jpg,poisson
38,Filets de lotte au four à la tomate,/recettes/recette_filets-de-lotte-au-four-a-la-tomate_21385.aspx,5/5,"
            20 avis
        ",https://assets.afcdn.com/recipe/20131005/23881_w225h225c1cx1024cy768.jpg,poisson
39,Filet de Colin au curry,/recettes/recette_filet-de-colin-au-curry_83233.aspx,4.9/5,"
            64 avis
        ",https://assets.afcdn.com/recipe/20150304/35093_w225h225c1cx1224cy1632.jpg,poisson
40,Pavés de saumon à la crème,/recettes/recette_paves-de-saumon-a-la-creme_66903.aspx,4.8/5,"
            50 avis
        ",https://assets.afcdn.com/recipe/20221013/136069_w225h225c1cx1920cy1080cxt0cyt0cxb3840cyb2160.jpg,poisson
41,Filet de truite aux amandes (four),/recettes/recette_filet-de-truite-aux-amandes-four_68018.aspx,4.5/5,"
            46 avis
        ",https://assets.afcdn.com/recipe/20150306/36124_w225h225c1cx1208cy1638.jpg,poisson
42,Saumon au four express,/recettes/recette_saumon-au-four-express_325985.aspx,5/5,"
            2 avis
        ",https://assets.afcdn.com/recipe/20220505/131760_w225h225c1cx2120cy1416cxt0cyt0cxb4240cyb2832.jpeg,poisson
1,Filet de cabillaud aux échalotes et à la moutarde,/recettes/recette_filet-de-cabillaud-aux-echalotes-et-a-la-moutarde_45184.aspx,4.5/5,"
            89 avis
        ",https://assets.afcdn.com/recipe/20151013/58756_w225h225c1cx1632cy1224.jpg,poisson
2,Gratin de poisson,/recettes/recette_gratin-de-poisson_17718.aspx,4.3/5,"
            51 avis
        ",https://assets.afcdn.com/recipe/20160322/4188_w225h225c1cx2464cy1632.jpg,poisson
3,Queue de lotte simple et rapide,/recettes/recette_queue-de-lotte-simple-et-rapide_310215.aspx,5/5,"
            3 avis
        ",https://assets.afcdn.com/recipe/20170120/27742_w225h225c1cx360cy545.jpg,poisson
4,PAVE DE SAUMON EN PAPILLOTTE,/recettes/recette_pave-de-saumon-en-papillotte_18092.aspx,4.6/5,"
            76 avis
        ",https://assets.afcdn.com/recipe/20230619/143554_w225h225c1cx1920cy1080cxt311cyt139cxb3840cyb2160.jpg,poisson
5,Papillotes de cabillaud,/recettes/recette_papillotes-de-cabillaud_25864.aspx,4.4/5,"
            51 avis
        ",https://assets.afcdn.com/recipe/20190205/87242_w225h225c1cx1800cy3468cxt0cyt0cxb3547cyb5321.jpg,poisson
6,Poisson au four rapide et facile,/recettes/recette_poisson-au-four-rapide-et-facile_40171.aspx,3.9/5,"
            7 avis
        ",https://assets.afcdn.com/recipe/20150331/16904_w225h225c1cx1224cy1632.jpg,poisson
7,Lotte à l'américaine,/recettes/recette_lotte-a-l-americaine_12569.aspx,4.7/5,"
            138 avis
        ",https://assets.afcdn.com/recipe/20170827/71382_w225h225c1cxt0cyt0cxb1830cyb1898.jpg,poisson
8,Daurade au four façon Camila,/recettes/recette_daurade-au-four_335210.aspx,4.8/5,"
            26 avis
        ",https://assets.afcdn.com/recipe/20170729/70981_w225h225c1cxt0cyt0cxb640cyb480.jpg,poisson
9,Dos de cabillaud en papillote,/recettes/recette_dos-de-cabillaud-en-papillote_309588.aspx,4.8/5,"
            21 avis
        ",https://assets.afcdn.com/recipe/20140706/11840_w225h225c1cx240cy320.jpg,poisson
10,Filet de loup rapide façon Silvia,/recettes/recette_filet-de-loup-rapide-facon-silvia_30472.aspx,4.6/5,"
            43 avis
        ",https://assets.afcdn.com/recipe/20151108/57764_w225h225c1cx1296cy972.jpg,poisson
11,Aile de raie au four (light),/recettes/recette_aile-de-raie-au-four-light_38551.aspx,4.6/5,"
            83 avis
        ",https://assets.afcdn.com/recipe/20130614/28487_w225h225c1cx256cy192.jpg,poisson
12,Bar en croûte de sel,/recettes/recette_bar-en-croute-de-sel_64645.aspx,4.7/5,"
            24 avis
        ",https://assets.afcdn.com/recipe/20161024/43453_w225h225c1cx2000cy3000.jpg,poisson
13,Filets de merlan au four et sa julienne de légumes,/recettes/recette_filets-de-merlan-au-four-et-sa-julienne-de-legumes_27533.aspx,4.3/5,"
            4 avis
        ",https://assets.afcdn.com/recipe/20170321/32520_w225h225c1cx2336cy1552.jpg,poisson
14,Lieu noir cuisson facile au court-bouillon et beurre aux herbes,/recettes/recette_lieu-noir-cuisson-facile-au-court-bouillon-et-beurre-aux-herbes_372566.aspx,4.5/5,"
            2 avis
        ",https://assets.afcdn.com/recipe/20190710/94989_w225h225c1cx800cy530cxt0cyt0cxb1599cyb1060.jpg,poisson
15,Darnes de saumon sauce citron et échalotes,/recettes/recette_darnes-de-saumon-sauce-citron-et-echalotes_30892.aspx,4.1/5,"
            19 avis
        ",https://assets.afcdn.com/recipe/20170411/60015_w225h225c1cx2250cy1500.jpg,poisson
16,Saumon entier au four,/recettes/recette_saumon-entier-au-four_19961.aspx,4.8/5,"
            42 avis
        ",https://assets.afcdn.com/recipe/20131009/49592_w225h225c1cx1224cy1632.jpg,poisson
17,Filets de dorade grillés à la moutarde et aux échalotes,/recettes/recette_filets-de-dorade-grilles-a-la-moutarde-et-aux-echalottes_220585.aspx,5/5,"
            8 avis
        ",https://assets.afcdn.com/recipe/20171022/73789_w225h225c1cx360cy579cxt0cyt0cxb720cyb1158.jpg,poisson
18,Dos de cabillaud tout simple au Cookeo,/recettes/recette_dos-de-cabillaud-tout-simple-au-cookeo_383245.aspx,5/5,"
            2 avis
        ",https://assets.afcdn.com/recipe/20191123/102887_w225h225c1cx3216cy1550cxt0cyt0cxb5616cyb3744.jpg,poisson
19,Poisson et légumes au four,/recettes/recette_poisson-et-legumes-au-four_10864.aspx,4.2/5,"
            42 avis
        ",https://assets.afcdn.com/recipe/20121020/45513_w225h225c1cx256cy192.jpg,poisson
20,Darne de saumon en papillotte,/recettes/recette_darne-de-saumon-en-papillotte_170870.aspx,5/5,"
            3 avis
        ",https://assets.afcdn.com/recipe/20150211/47313_w225h225c1cx200cy160.jpg,poisson
21,Filets de sole au beurre,/recettes/recette_filets-de-sole-au-beurre_25314.aspx,4.7/5,"
            15 avis
        ",https://assets.afcdn.com/recipe/20140127/47828_w225h225c1cx300cy400.jpg,poisson
22,Morue au four à la portugaise,/recettes/recette_morue-au-four-a-la-portugaise_49621.aspx,3.6/5,"
            8 avis
        ",https://assets.afcdn.com/recipe/20150322/22806_w225h225c1cx1632cy1224.jpg,poisson
23,Merlu au four au court-bouillon,/recettes/recette_merlu-au-four-au-court-bouillon_227636.aspx,4.5/5,"
            2 avis
        ",https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w225h225c1.jpg,poisson
24,Saumon au four et ses légumes,/recettes/recette_saumon-au-four-et-ses-legumes_29435.aspx,4.3/5,"
            32 avis
        ",https://assets.afcdn.com/recipe/20190320/89706_w225h225c1cx3007cy3814cxt0cyt0cxb4907cyb7357.jpg,poisson
25,Filets de merlu sauce verte,/recettes/recette_filets-de-merlu-sauce-verte_57837.aspx,4.5/5,"
            12 avis
        ",https://assets.afcdn.com/recipe/20150901/34443_w225h225c1cx1500cy2250.jpg,poisson
26,"Sardines grillées, en noir et blanc par Laurent Mariotte",/recettes/recette_sardines-grillees-par-laurent-mariotte_531282.aspx,N/A,N/A,https://assets.afcdn.com/recipe/20210629/120932_w225h225c1cx963cy543cxt0cyt0cxb1927cyb1087.png,poisson
27,Filets de daurade aux champignons et à la crème,/recettes/recette_filets-de-daurade-aux-champignons-et-a-la-creme_24398.aspx,5/5,"
            7 avis
        ",https://assets.afcdn.com/recipe/20181217/84905_w225h225c1cx1635cy4400cxt0cyt0cxb4094cyb6141.jpg,poisson
28,Papillote de dorade grise au four,/recettes/recette_papillote-de-dorade-grise-au-four_349144.aspx,4.8/5,"
            5 avis
        ",https://assets.afcdn.com/recipe/20171124/75507_w225h225c1cx2016cy1512cxt0cyt0cxb4032cyb3024.jpg,poisson
29,Filets de panga à l'espagnole,/recettes/recette_filets-de-panga-a-l-espagnole_61533.aspx,4.7/5,"
            11 avis
        ",https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w225h225c1.jpg,poisson
30,Gratin de poisson et de fruits de mer,/recettes/recette_gratin-de-poisson-et-de-fruits-de-mer_23052.aspx,5/5,"
            5 avis
        ",https://assets.afcdn.com/recipe/20181128/84358_w225h225c1cx2245cy2181cxt0cyt0cxb6000cyb4000.jpg,poisson
