id,name,pluriel,img,animal,g_weight
526,"Crabe, cru",,Crabe,Crabe,70
527,"Ormeau, cru",,,,35
528,"Coquille Saint-Jacques, noix, crue",,Coquille saint jacques,Coquille saint jacques,30
529,"Pecten d'Amérique ou peigne du Canada, noix, crue",,,,30
530,"Pétoncle ou peigne du Pérou, noix, crue",,,,30
531,"Bigorneau, cru",,,,5
532,"Grenouille, cuisse, crue",,,,40
533,"Calmar ou calamar ou encornet, à la romaine (beignet), préemballé",,,,55
534,"Crabe, miettes et ou pattes décortiquées, appertisé, égoutté",,Crabe,Crabe,45
535,"Langoustine, panée, frite",,,,20
536,Beignet de crevette,,Crevette,Crevette,20
537,"Escargot en sauce au beurre persillé, préemballé, cuit",,,,20
538,"Maquereau, filet grillé, appertisé, en sauce, égoutté",,Poisson,,100
539,"Anchois, filets, roulés aux câpres, salés, à l'huile, semi-conserve, égouttés",,Poisson,,10
540,"Anchois, filets, marinés à l'huile, semi-conserve, égouttés",,Poisson,,100
541,"Carrelet ou plie ou plie commune, pané, frit",,Poisson,,100
542,"Limande-sole, panée, frite",,Poisson,,100
543,"Nuggets ou croquette panée de poisson, préemballé",,Poisson,Poisson,40
544,"Poisson pané, surgelé, cru",,Poisson,Poisson,80
545,"Poisson pané, frit",,Poisson,Poisson,80
546,"Maquereau, filet sauce tomate, appertisé, égoutté",,Poisson,,100
547,"Maquereau, filet sauce moutarde, appertisé, égoutté",,Poisson,,100
548,"Maquereau, filet au vin blanc, appertisé, égoutté",,Poisson,,100
549,"Maquereau, filet (grillé ou non), au naturel, appertisé, égoutté",,Poisson,,100
550,"Merlan, pané",,Poisson,,100
551,"Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés",,Poisson,,40
552,"Anchois, filets, marinés à l'orientale (huile, piments…), semi-conserve, égouttés",,Poisson,,10
553,"Anchois, filets, salés, à l'huile de tournesol, semi-conserve, égouttés",,Poisson,,10
554,"Anchois, filets, salés, à l'huile d'olive, semi-conserve, égouttés",,Poisson,,10
555,"Anchois, filets, marinés, semi-conserve, égouttés (aliment moyen)",,Poisson,,10
556,"Oeuf, blanc (blanc d'oeuf), cuit",,Oeuf,Oeuf,30
557,"Oeuf, jaune (jaune d'oeuf), cuit",,Oeuf,Oeuf,20
558,Oeuf dur,,Oeuf,Oeuf,55
559,Oeuf poché,,Oeuf,Oeuf,55
560,Oeuf à la coque,,Oeuf,Oeuf,55
561,"Oeuf brouillé, avec matière grasse",,Oeuf,Oeuf,60
562,"Oeuf au plat, sans matière grasse",,Oeuf,Oeuf,55
563,Oeuf cru,,Oeuf,Oeuf,55
564,"Oeuf, blanc (blanc d'oeuf), cru",,Oeuf,Oeuf,33
565,"Oeuf, jaune (jaune d'oeuf), cru",,Oeuf,Oeuf,22
566,"Oeuf de caille, cru",,Oeuf,Oeuf,10
567,"Oeuf de cane, cru",,Oeuf,Oeuf,65
568,"Oeuf d'oie, cru",,Oeuf,Oeuf,130
569,"Oeuf de dinde, cru",,Oeuf,Oeuf,80
