id,name,pluriel,g_weight
150,Cassis,Cassis,0.5
151,Dachine,Dachines,500
152,Baie de goji,Baies de goji,1
153,Fraise,Fraises,12
154,Crosne,Crosnes,6
155,Pomelo (dit Pamplemousse),Pomelos (dit Pamplemousses),300
156,Tomate,Tomates ,140
157,Sureau,Sureaux,1
158,Nèfle du Japon,Nèfles du Japon,30
159,Banane,Bananes ,110
160,Datte du désert,Dattes du désert,22
161,Griotte,Griottes,4
162,Champignon,Champignons,20
163,Citron,Citrons,70
164,Rhubarbe,Rhubarbes,150
165,Bambou,Bambou,200
166,Canneberge ou cranberry,Canneberges ou cranberry,1
167,Fruits rouges,Fruits rouges,3
168,Chou-rave,Choux-raves,350
169,Melon miel ou melon honeydew,Melons miel ou melons honeydew,700
170,Tomate ronde,Tomates rondes,130
171,Moringa,Moringas,1
172,Groseille à maquereau,Groseilles à maquereau,4
173,Poireau,Poireaux,170
174,Nectarine ou brugnon,Nectarines ou brugnons,140
175,Endive,Endives,150
176,Champignon noir,Champignons noirs,12
177,Kaki de brousse,Kakis de brousse,250
178,Tomate cerise,Tomates cerises,15
179,Orange,Oranges ,150
180,Aubergine,Aubergines,250
181,Courge musquée,Courges musquées,900
182,Brèdes chou de Chine ou bok choy ou pak choï,Brèdes chou de Chine ou bok choy ou pak choï,30
183,Brocoli,Brocolis,250
184,Tomate grappe,Tomates grappes,130
185,Prune mirabelle,Prunes mirabelles,10
186,Chicorée rouge,Chicorées rouges,225
187,Concombre,Concombres,270
188,Prune violette,Prunes violettes,35
189,Pomme Chantecler,Pommes Chantecler,170
190,Batavia,Batavias,225
191,Pomme,Pommes,150
192,Papaye verte,Papayes vertes,500
193,Abricot pays,Abricots pays,30
194,Salsifis,Salsifis,150
195,Litchi,Litchis,10
196,Radis rouge,Radis rouges,10
197,Mandarine commune,Mandarines communes,90
198,Raisin blanc,Raisins blancs,4
199,Mangue julie,Mangues julie,220
200,Chayote ou christophine ou chouchou,Chayotes ou christophines ou chouchoux,270
201,Kiwi,Kiwis,70
202,Poire,Poires,140
203,Pomme cannelle,Pommes cannelles,300
204,Pomelo (dit Pamplemousse) jaune,Pomelos (dit Pamplemousses) jaunes,600
205,Chou romanesco ou brocoli à pomme,Choux romanesco ou brocolis à pomme,350
206,Salade ou chicorée frisée,Salades ou chicorées frisées,170
207,Oignon blanc ou jaune,Oignons blancs ou jaunes,140
208,Pomelo (dit Pamplemousse) rose,Pomelos (dit Pamplemousses) roses,600
209,Courge spaghetti,Courges spaghettis,900
210,Mûre (de ronce),Mûres (de ronce),1
211,Poivron vert,Poivrons verts,150
