id_ingredient,singulier,pluriel,ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),norm_ing
00099,chipolata,chipolatas,Chipolata,1170,"18,8","22,4","0,8","0,4",0,,"8,27","75,2",chipolata
00100,lard,lards,Lard,3330,"2,92","88,7",0,0,0,,"32,2",57,lard
00101,cube,cubes,,,,,,,,,,,
00102,mélange,mélanges,,,,,,,,,,,
00103,pois,pois,Pois,,"5,15","0,27","7,95","4,65","5,5",,"0,049",0,pois
00104,fève,fèves,Fèves,,"5,6","< 0,5","7,4",1,"5,8",,"< 0,01",,feves
00105,basilic,basilic,Basilic,145,"3,35","0,47","2,55","0,37","3,47",,"0,13",0,basilic
00106,paleron,palerons,Paleron,1050,"36,8","11,4","0,2",0,0,,"4,5",113,paleron
00107,bouchée,bouchées,,,,,,,,,,,
00108,bourguignon,bourguignons,Bourguignon,,"1,25","43,9","7,85","5,23","0,52",,"3,59",32,bourguignon
00109,tête,têtes,,,,,,,,,,,
00110,navet,navets,Navet,,"0,9","0,2","3,8","2,9","2,2",,"0,008",0,navet
00111,oeuf,oeufs,Oeuf,575,"12,5","9,47","0,71","0,37",0,,"2,99",370,oeuf
00112,cerfeuil,cerfeuil,Cerfeuil,167,"3,72","0,6","3,63","0,6","2,55",,"0,22",0,cerfeuil
00113,radis,radis,Radis,123,"0,94","< 0,3","5,52","4,3","1,2",,"< 0,01",,radis
00114,chapelure,chapelures,Chapelure,1560,"12,7","3,77",70,"6,9","4,5",,"0,94",0,chapelure
00115,parmesan,parmesan,Parmesan,1700,"30,5",31,traces,traces,0,,"20,6","95,3",parmesan
00116,roquette,roquette,Roquette,,"2,58","0,66","2,1","2,05","1,6",,"0,086",0,roquette
00117,cognac,cognacs,Cognac,945,0,0,1,0,0,,,0,cognac
00118,coq,coq,Coq,555,13,7,4,1,"0,9",,1,65,coq
00119,poireau,poireaux,Poireau,114,"2,56","< 0,3","2,23","1,8","3,4",,"< 0,01",,poireau
00120,poule,poules,Poule,523,"20,9","4,51",0,0,0,,"1,12",64,poule
