id_ingredient,singulier,pluriel,ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),norm_ing
00325,légume,légumes,Légumes,292,"6,4",3,"3,6","2,59","1,4",,"0,46","30,8",legumes
00326,poularde,poulardes,Poularde,,,,,,,,,,poularde
00327,anis,anis,Anis,,,,,,,,,,anis
00328,pêche,pêches,Pêche,,"1,08","0,33",9,"8,16","1,6",,"0,027",0,peche
00329,crevette,crevettes,Crevettes,397,19,"1,16","1,87","< 0,25",0,,"0,31",159,crevettes
00330,gambas,gambas,Gambas,,,,,,,,,,gambas
00331,mouton,moutons,Mouton,550,"12,8","6,83","4,5","2,4",< 1,,"2,73","57,8",mouton
00332,râble,râbles,,,,,,,,,,,
00333,toastinette,toastinettes,Toastinette,1030,"13,8","18,5","5,34","4,95",0,,"12,3",60,toastinette
00334,marjolaine,marjolaine,Marjolaine,1140,"12,7","7,04","20,3","4,09","40,3",,"0,53",0,marjolaine
00335,chutney,chutney,Chutney,,,,,,,,,,chutney
00336,asperge,asperges,Asperge,,"2,46","0,27","2,03","1,5","2,15",,"0,069",0,asperge
00337,pointe,pointes,,,,,,,,,,,
00338,espadon,espadons,Espadon,1110,"28,7","16,9",traces,0,0,,"1,51",129,espadon
00339,couche,couches,Couche,118,"2,62","0,36","3,15","2,5",1,,"0,067",0,couche
00340,pont,ponts,,,,,,,,,,,
00341,whisky,whisky,Whisky,1050,0,0,"0,096","0,096",0,,0,0,whisky
00342,boursault,boursault,Boursault,,,,,,,,,,boursault
00343,panga,pangas,Panga,335,"17,5",1,traces,0,0,,"0,51","40,8",panga
00344,roquefort,roqueforts,Roquefort,1600,"19,1","33,9",traces,traces,0,,"24,9","74,7",roquefort
00345,extraire,extraires,,,,,,,,,,,
00346,patate,patates,,,,,,,,,,,
00347,quenelle,quenelles,Quenelle,780,"9,3","10,1","14,1","1,2","1,1",,"1,5",,quenelle
00348,Maury,Maurys,Maury,,,,,,,,,,maury
00349,fruit,fruits,Fruits,394,"3,18","2,83",13,"12,6","0,27",,"1,9","10,6",fruits
00350,chaource,chaource,Chaource,1150,17,"22,9",traces,"< 0,2",0,,"15,8",83,chaource
00351,papier,papiers,,,,,,,,,,,
00352,mascarpone,mascarpones,Mascarpone,,"4,29",39,4,4,0,,"25,7",123,mascarpone
00353,marsala,marsala,Marsala,887,"0,1",0,"27,9","27,9",0,,0,0,marsala
00354,sarriette,sarriette,Sarriette,1090,"6,73","5,91",23,,"45,7",,"3,26",0,sarriette
00355,mérou,mérous,Mérou,349,"18,6","0,86",traces,0,0,,"0,2",37,merou
00356,combava,combavas,Combava,,,,,,,,,,combava
00357,vache,vaches,,,,,,,,,,,
00358,viandox,viandox,Viandox,,,,,,,,,,viandox
00359,poulpe,poulpes,Poulpe,659,"29,8","2,08","4,4",0,0,,"0,45",96,poulpe
00360,chocolat,chocolats,Chocolat,2320,"7,81","36,1","45,3","39,5","7,39",,"22,3","11,5",chocolat
00361,pistache,pistaches,Pistaches,,"21,7","47,4","18,6","7,74","10,1",,"5,52",0,pistaches
00362,marmelade,marmelades,,,,,,,,,,,
00363,maïs,maïs,Maïs,447,"2,82","1,68","18,4","5,16","3,1",,"0,26",0,mais
00364,carrelet,carrelets,Carrelet,1010,"13,4","16,8","8,86",,1,,2,60,carrelet
00365,thon,thons,Thon,576,"29,9","1,83",traces,0,0,,"0,9","43,5",thon
00366,autre,autres,Autres,,"6,1","27,6","60,5","21,6","2,06",,"14,4","11,7",autres
00367,rhum,rhums,Rhum,1060,0,0,0,0,0,,0,0,rhum
00368,pimiento,pimiento,,,,,,,,,,,
00369,gélatine,gélatines,Gélatine,1480,"86,9","0,1",0,,0,,"0,036",,gelatine
00370,couscous,couscous,Couscous,659,5,1,31,"1,6","2,3",,"0,25",0,couscous
00371,blette,blettes,Blette,"61,1","0,7","< 0,5","1,23","0,8","2,5",,"< 0,01",0,blette
00372,abricot,abricots,Abricot,194,"0,81","< 0,5","9,01","6,7","1,7",,"< 0,01",0,abricot
00373,cancoillotte,cancoillottes,Cancoillotte,635,"13,6","10,5","0,5",traces,0,,"7,06",26,cancoillotte
00374,gésier,gésiers,Gésiers,443,"17,3","3,75","0,6",0,0,,"1,12",240,gesiers
00375,cerneau,cerneaux,,,,,,,,,,,
00376,pesto,pesto,Pesto,1530,"3,94","35,4","6,6","3,2","2,5",,"4,39","18,2",pesto
00377,gnocchi,gnocchis,Gnocchi,766,"6,34","7,88",34,"0,65","1,9",,"0,33",,gnocchi
00378,tapenade,tapenades,Tapenade,,"1,3",23,"2,6","0,2","3,7",,"2,7","3,2",tapenade
00379,Bresse,Bresse,,,,,,,,,,,
00380,Halloumi,Halloumi,Halloumi,,,,,,,,,,halloumi
00381,houmous,houmous,Houmous,,"8,2","23,9","7,1","1,38","5,98",,"2,48",,houmous
00382,sucrine,sucrines,Sucrine,"75,5","1,13","< 0,3","2,58","1,78","0,8",,"< 0,01",,sucrine
00383,vermouth,vermouth,Vermouth,,"0,054",0,"11,3","11,1",0,,0,0,vermouth
00384,huître,huîtres,Huître,283,"8,64","1,91","3,86",traces,0,,"0,34","20,3",huitre
00385,ficelle,ficelles,Ficelle,631,"8,6","7,5","11,9","2,7","0,6",,"2,8",,ficelle
00386,avoine,avoines,Avoine,1570,"18,1","6,9","55,7","1,2","10,6",,"1,22",0,avoine
00387,panais,panais,Panais,383,"1,94","0,5","16,6","6,2","5,6",,"0,13",,panais
00388,rutabaga,rutabagas,Rutabaga,,"0,93","0,18","4,26","3,95","1,8",,"0,029",0,rutabaga
00389,canneloni,cannelonis,Canneloni,512,"4,38","5,9","11,8","4,3",traces,,"1,91","11,2",canneloni
00390,gîte,gîtes,Gîte,431,21,"1,9","0,2",,0,,"0,8",,gite
00391,farce,farces,Farce,503,"5,49","9,67",2,"0,88","2,31",,"3,24",42,farce
00392,coing,coings,Coing,,"0,51","0,1","13,4","6,3","1,9",,"0,0085",0,coing
00393,compote,compotes,Compote,,"0,41","0,56","16,9","15,8","1,53",,"0,12",,compote
00394,camembert,camemberts,Camembert,1170,"19,1","22,5",traces,traces,0,,"15,8",74,camembert
00395,Guinness,Guinness,Guinness,,,,,,,,,,guinness
00396,chanterelle,chanterelles,Chanterelle,137,"2,28","0,78","2,3","1,87","4,23",,"0,5",0,chanterelle
00397,Kororima,Kororima,Kororima,,,,,,,,,,kororima
00398,hydromel,hydromels,Hydromel,,,,,,,,,,hydromel
00399,blé,blés,Blé,887,"8,03","1,27","41,4",,"1,1",,"0,21",0,ble
00400,melfor,melfor,Melfor,,,,,,,,,,melfor
00401,bécasse,bécasses,Bécasse,,,,,,,,,,becasse
00402,crêpe,crêpes,Crêpe,,"8,5","14,1","58,1","28,1","1,3",,"6,51","54,7",crepe
00403,brioche,brioches,Brioche,1490,"8,13","11,8","52,7","12,7","2,2",,"5,01","59,3",brioche
00404,aneth,aneth,Aneth,202,"3,93","1,1","3,9","1,2","3,5",,"0,27",0,aneth
00405,galette,galettes,Galette,,"6,84","23,5","63,7","28,2","3,01",,"13,2",,galette
00406,charcuterie,charcuteries,Charcuteries,991,"19,7","17,1","1,47","0,86","0,25",,"6,61",77,charcuteries
00407,court-bouillon,court-bouillons,Court-bouillon,1080,5,23,7,"4,5","2,5",,16,,court-bouillon
00408,julien,juliens,,,,,,,,,,,
00409,boulgour,boulgour,Boulgour,699,"4,06","8,3","17,4","4,61","3,3",,"0,92",,boulgour
00410,mirin,mirin,Mirin,,,,,,,,,,mirin
00411,nouille,nouilles,Nouilles,611,"5,12","4,3","18,8",2,"6,3",,"0,5",,nouilles
00412,tofu,tofus,Tofu,595,"14,7","8,5","2,87","0,57","< 0,5",,"1,35",0,tofu
00413,rumsteak,rumsteaks,Rumsteak,,,,,,,,,,rumsteak
00414,téquila,téquila,Téquila,,,,,,,,,,tequila
00415,agneau,agneaux,Agneau,1130,"16,3","22,6","0,92","0,063",0,,"10,1",,agneau
00416,potimarron,potimarrons,Potimarron,161,"1,06","0,3","6,88","3,5","1,8",,"0,08",,potimarron
00417,topinambour,topinambours,Topinambour,346,"1,8","0,7",16,"9,6","2,2",,0,0,topinambour
00418,branche,branches,,,,,,,,,,,
00419,marlin,marlins,Marlin,,,,,,,,,,marlin
00420,piperade,piperades,Piperade,,"1,1","3,8","6,5","4,9","3,4",,2,"2,09",piperade
00421,beef,beefs,,,,,,,,,,,
00422,tahin,tahins,Tahin,,"20,3","53,4","13,8","0,49",7,,"7,48",0,tahin
00423,arachide,arachides,Arachide,,"15,5",22,"9,54","2,47","8,8",,"3,06",0,arachide
00424,surimi,surimis,Surimi,525,"8,31","4,92","11,8","2,1","< 0,33",,"0,46","10,8",surimi
00425,merlu,merlus,Merlu,472,"21,2",3,traces,0,0,,"0,92","77,4",merlu
00426,cerise,cerises,Cerises,235,"0,81","< 0,3",13,10,"1,6",,"< 0,01",0,cerises
00427,pâté,pâtés,Pâte,2110,"5,7","24,6","64,4","22,9","1,5",,"11,8","1,37",pate
00428,châtaigne,châtaignes,Châtaignes,,"2,13","2,23","36,5","7,86","7,45",,"0,37",0,chataignes
00429,flageolet,flageolets,Flageolet,469,"6,75","1,1",12,"0,3","13,8",,"0,25",,flageolet
00430,cointreau,cointreaux,Cointreau,,,,,,,,,,cointreau
00431,fonds,fonds,,,,,,,,,,,
00432,bois,bois,,,,,,,,,,,
00433,pamplemousse,pamplemousses,Pamplemousse,169,"< 0,5","< 0,5","8,02","6,6","0,8",,"< 0,01",0,pamplemousse
00434,sabre,sabres,Sabre,524,18,"5,9",traces,0,0,,"0,94",,sabre
00435,dindonneau,dindonneaux,Dindonneau,,,,,,,,,,dindonneau
00436,baba,babas,Baba,708,"2,83","3,86","23,6","18,2","0,87",,"2,77",,baba
00437,pickle,pickles,Pickles,,,,,,,,,,pickles
00438,raifort,raiforts,Raifort,,"7,5","0,7",13,,"7,5",,"0,11",0,raifort
00439,pak,pak,,,,,,,,,,,
00440,brousse,brousses,Brousse,,,,,,,,,,brousse
00441,ricotta,ricottas,Ricotta,,"8,61","11,9",4,"2,25",0,,"8,08",51,ricotta
00442,trompette,trompettes,,,,,,,,,,,
00443,pineau,pineaux,,,,,,,,,,,
00444,alcool,alcools,Alcool,2730,0,0,0,0,0,,0,0,alcool
00445,tamari,tamaris,Tamari,,,,,,,,,,tamari
00446,bicarbonate,bicarbonates,Bicarbonate,"1,7","0,1",0,0,0,0,,0,0,bicarbonate
00447,tomme,tomme,Tomme,1460,"21,1","29,4",traces,traces,0,,"19,4",,tomme
00448,mogette,mogettes,Mogette,,,,,,,,,,mogette
00449,tandoori,tandoori,Tandoori,,"2,6","1,7","14,3","12,3","1,9",,"0,35",,tandoori
00450,pigeon,pigeons,Pigeon,887,"23,9",13,0,0,0,,"3,74",116,pigeon
00451,crottin,crottins,,,,,,,,,,,
00452,tamarin,tamarins,Tamarin,,"2,65","0,6","57,4","38,8","5,1",,"0,24",0,tamarin
00453,griotte,griottes,Griotte,,"1,1","0,3","10,5","8,49","1,65",,"0,084",0,griotte
00454,cresson,cressons,Cresson,,"2,25","0,1",traces,,"2,1",,,,cresson
00455,salsifis,salsifis,Salsifis,243,"2,63","< 0,3","9,29","2,3","4,5",,"< 0,01",,salsifis
00456,palette,palettes,Palette,868,"24,8","12,1",traces,,0,,"4,57","71,1",palette
00457,nougat,nougats,Nougat,1100,"4,83","15,2","25,3","20,5","2,76",,11,"22,7",nougat
00458,merlan,merlans,Merlan,417,23,"0,7",traces,0,0,,"0,13",55,merlan
00459,Leerdammer,Leerdammer,Leerdammer,,,,,,,,,,leerdammer
00460,tome,tomes,,,,,,,,,,,
00461,pâtisson,pâtissons,Pâtisson,,,,,,,,,,patisson
00462,chèvre,chèvres,Chèvre,241,"3,15","3,2","4,01","4,01",0,,"2,16","12,1",chevre
00463,cheval,chevaux,Cheval,711,"28,2","6,24",traces,,0,,"1,99",,cheval
00464,marcassin,marcassins,Marcassin,,,,,,,,,,marcassin
00465,pleurote,pleurotes,Pleurote,107,"3,06","0,36","1,5","0,71","2,4",,"0,062",0,pleurote
00466,frite,frites,Frite,1200,"3,28","11,9","39,4","0,69","3,9",,"2,94",0,frite
00467,canette,canettes,Canette,,,,,,,,,,canette
00468,daurade,daurades,Daurade,512,"22,9","3,3",traces,0,0,,"0,75",67,daurade
00469,igname,ignames,Igname,463,"1,49","0,14","23,6","0,49","3,9",,"0,029",0,igname
00470,avocat,avocats,Avocat,843,"1,56","20,6","0,83","0,4","3,6",,"4,51","< 0,5",avocat
00471,collier,colliers,,,,,,,,,,,
00472,écorce,écorces,,,,,,,,,,,
00473,tendre,tendres,,,,,,,,,,,
00474,clémentine,clémentines,Clémentine,200,"0,81","< 0,5","9,17","8,6","1,7",,"< 0,01",0,clementine
00475,sole,soles,Sole,330,"15,7","1,69",traces,0,0,,"0,31","60,5",sole
00476,églefin,églefins,églefin,377,"20,9","0,6",traces,0,0,,"0,1",38,eglefin
00477,dorade,dorades,Dorade,512,"22,9","3,3",traces,0,0,,"0,75",67,dorade
00478,bar,bars,Bar,350,"19,1","0,7",traces,0,0,,"0,2","47,6",bar
00479,raie,raies,Raie,415,"23,2","0,57",traces,0,0,,"0,12",67,raie
00480,morue,morues,Morue,871,"47,6","1,67",traces,0,0,,"0,31",105,morue
00481,truite,truites,Truite,419,19,"2,6",traces,0,0,,"0,54",,truite
00482,rascass,rascass,,,,,,,,,,,
00483,saint-pierre,Saint-pierres,Saint-pierre,1230,"18,5","24,5",traces,,0,,"16,8","99,7",saint-pierre
00484,vif,vifs,,,,,,,,,,,
00485,grondin,grondins,Grondin,397,19,2,traces,0,0,,,,grondin
00486,cigal,cigaux,,,,,,,,,,,
00487,loup,loups,Loup,414,"20,1","1,94",traces,0,0,,"0,49","58,1",loup
00488,feter,feters,,,,,,,,,,,
00489,tsuyu,tsuyu,,,,,,,,,,,
00490,écrevisse,écrevisses,écrevisse,312,"16,3","0,7","0,56","< 0,25",0,,"0,17",116,ecrevisse
00491,aromate,aromates,Aromate,206,"3,58","0,8","4,15","1,99","5,64",,"0,2",0,aromate
00492,cabillaud,cabillauds,Cabillaud,420,"23,1","0,73",0,0,0,,"0,14","52,1",cabillaud
00493,merluchon,merluchons,Merluchon,,,,,,,,,,merluchon
00494,langoustine,langoustines,Langoustine,,"20,9","0,98",,,0,,"0,14",149,langoustine
00495,crabe,crabes,Crabe,,"18,3","3,8",,,0,,"1,14",115,crabe
00496,pavé,pavés,,,,,,,,,,,
00497,sébast,sébasts,,,,,,,,,,,
00498,maquereau,maquereaux,Maquereau,949,"21,5","15,8",traces,0,0,,"4,44","81,8",maquereau
00499,homard,homards,Homard,385,"19,6","1,32","0,11",0,0,,"0,21",128,homard
00500,flétan,flétans,Flétan,409,"21,2","1,31",traces,0,0,,"0,21","43,7",fletan
00501,salicorne,salicornes,Salicorne,,"0,67","0,24","1,1",,"2,46",,,,salicorne
00502,turbot,turbots,Turbot,497,"21,3","3,64",traces,0,0,,"0,9",62,turbot
00503,plier,pliers,,,,,,,,,,,
00504,tilapia,tilapias,Tilapia,387,"18,1","2,13",traces,0,0,,"0,56","39,5",tilapia
00505,limande,limandes,Limande,380,"17,4","2,27",traces,0,0,,"0,12",73,limande
00506,rouget,rougets,Rouget,602,"24,1","5,2",traces,0,0,,"0,73","63,9",rouget
00507,grenadier,grenadiers,Grenadier,292,"15,4","0,81",traces,0,0,,"0,11","37,1",grenadier
00508,rascasse,rascasses,Rascasse,533,"24,6","3,1",traces,0,0,,"0,61","48,9",rascasse
00509,roucaou,roucaous,Roucaou,,,,,,,,,,roucaou
00510,spigol,spigols,Spigol,,,,,,,,,,spigol
00511,oursin,oursins,Oursin,,,,,,,,,,oursin
00512,persillade,persillades,Persillade,1170,"9,56","24,8","4,43","0,3","1,26",,"16,6","88,5",persillade
00513,oseille,oseilles,Oseille,,"1,84","0,65","1,6","1,54","1,8",,"0,1",0,oseille
00514,massala,massala,Massala,,"2,6","1,7","14,3","12,3","1,9",,"0,35",,massala
00515,étrille,étrilles,étrille,,,,,,,,,,etrille
00516,kiwi,kiwis,Kiwi,255,"0,88","0,6",11,"8,9","2,4",,"0,13",0,kiwi
00517,rouille,rouilles,Rouille,,"1,1","41,4",1,,0,,"5,7",,rouille
00518,spéculos,spéculos,,,,,,,,,,,
00519,noilly,noilly,,,,,,,,,,,
00520,encornet,encornets,Encornet,632,"32,5","1,4","1,64",,0,,"0,24",224,encornet
00521,caviar,caviars,Caviar,1060,25,"17,1",traces,traces,0,,"3,21",,caviar
00522,absinthe,absinthe,Absinthe,1010,"2,88","0,5","59,1","34,3","8,3",,"0,19",0,absinthe
00523,coque,coques,Coques,1650,"9,77","4,93","75,5","23,7","4,33",,"0,83",,coques
00524,coquille,coquilles,,,,,,,,,,,
00525,pinot,pinot,,,,,,,,,,,
00526,rhubarbe,rhubarbes,Rhubarbe,,"0,78","0,23","1,47","1,47","2,47",,"0,053",0,rhubarbe
00527,polenta,polentas,Polenta,328,"1,38","< 0,3","16,9","0,1","1,6",,"< 0,01","2,28",polenta
00528,dos,dos,,,,,,,,,,,
00529,ratatouille,ratatouilles,Ratatouille,,"1,22","3,15","4,97","3,91","2,03",,"0,47","0,07",ratatouille
00530,tokay,tokays,Tokay,,,,,,,,,,tokay
00531,cantal,cantal,Cantal,1580,"24,8",31,traces,"< 0,5",0,,"24,2",,cantal
00532,sherry,sherry,Sherry,,,,,,,,,,sherry
00533,étoile,étoiles,,,,,,,,,,,
00534,aïoli,aïolis,Aïoli,,"1,13",41,"4,7","3,14","0,42",,,,aioli
00535,coulommiers,coulommiers,,,,,,,,,,,
00536,verveine,verveine,Verveine,,,,,,,,,,verveine
00537,coco,cocos,,,,,,,,,,,
00538,carambole,caramboles,Carambole,,"1,15","0,32","3,9","3,9","2,8",,"0,019",0,carambole
00539,bigorneau,bigorneaux,Bigorneau,963,"23,8","15,1","0,0018",0,0,,"6,65","77,5",bigorneau
00540,vodker,vodkers,,,,,,,,,,,
00541,sandre,sandres,Sandre,351,"18,3","1,08",traces,0,0,,"0,21","70,3",sandre
00542,bette,bettes,,,,,,,,,,,
00543,canneberge,canneberges,Canneberge,1410,"< 0,5",1,"76,4","72,8","5,7",,"0,2",0,canneberge
00544,fettucine,fettucines,Fettucine,,,,,,,,,,fettucine
00545,palourd,palourds,,,,,,,,,,,
00546,calamar,calamars,Calamar,1050,"8,69","14,4","21,2","2,58","1,66",,"1,77",90,calamar
00547,ormeau,ormeaux,Ormeau,422,"14,4","0,83","8,69",0,0,,"0,15",85,ormeau
00548,vermicelle,vermicelles,Vermicelles,,"0,5",5,93,91,"0,5",,4,,vermicelles
00549,seiche,seiches,Seiche,323,"16,2","1,05","0,51",0,0,,"0,35",111,seiche
00550,chipiron,chipirons,Chipiron,,,,,,,,,,chipiron
00551,bulot,bulots,Bulot,555,"23,8","0,57","7,61",0,0,,"0,031",65,bulot
00552,telline,tellines,Telline,,,,,,,,,,telline
00553,praire,praires,Praire,420,"16,2","1,48","5,33",0,0,,"0,14","50,5",praire
00554,ventrèche,ventrèches,Ventrèche,,,,,,,,,,ventreche
00555,escargot,escargots,Escargot,338,"16,6","1,4","0,23","< 0,3",0,,"0,31",,escargot
00556,barbue,barbues,Barbue,,,,,,,,,,barbue
00557,croissant,croissants,Croissant,1560,"7,29",20,"40,4","8,83","2,32",,"11,6","26,5",croissant
00558,palourde,palourdes,Palourde,420,"16,2","1,48","5,33",0,0,,"0,14","50,5",palourde
00559,linguine,linguines,Linguine,,,,,,,,,,linguine
00560,langouste,langoustes,Langouste,449,"21,8","1,52","1,3",0,0,,"0,26",80,langouste
00561,guacamole,guacamoles,Guacamole,,"2,18","16,5","5,85","2,65","5,65",,"3,95","3,6",guacamole
00562,coquillette,coquillettes,Coquillettes,1400,"12,6","1,79","65,8","2,12",3,,"0,37",0,coquillettes
00563,miette,miettes,,,,,,,,,,,
00564,toast,toasts,Toast,971,"9,09","13,3","17,8","5,75","2,8",,"5,94","57,2",toast
00565,ouassous,ouassous,,,,,,,,,,,
00566,betterave,betteraves,Betterave,180,"1,44","0,4","7,13","6,7","2,5",,"0,15",0,betterave
00567,bourbon,bourbons,Bourbon,,,,,,,,,,bourbon
00568,chouchen,chouchens,Chouchen,,,,,,,,,,chouchen
00569,savora,savora,Savora,,,,,,,,,,savora
00570,pommeau,pommeaux,Pommeau,,,,,,,,,,pommeau
00571,vinaigrette,vinaigrettes,Vinaigrette,766,"8,22","16,3","1,02","0,62","0,55",,4,587,vinaigrette
00572,batavia,batavias,Batavia,"74,6","1,25","< 0,5","1,78","1,1","2,1",,"< 0,01",,batavia
00573,chip,chips,Chips,2270,"5,67","34,3","51,1","1,59","4,57",,"3,23","< 0,7",chips
00574,tortilla,tortillas,Tortilla,686,"5,56","9,9","11,7","1,22","2,7",,"1,55","99,2",tortilla
00575,Banyuls,Banyuls,Banyuls,,,,,,,,,,banyuls
00576,scampi,scampis,Scampi,,,,,,,,,,scampi
00577,melon,melons,Melon,265,"1,13","< 0,5","14,8","10,6","1,3",,"< 0,01",0,melon
00578,gorgonzola,gorgonzolas,Gorgonzola,1300,"18,6","26,4",traces,"< 0,3",0,,"16,9","81,1",gorgonzola
00579,tuc,tucs,Tuc,2090,"10,5","23,9",59,"5,44","3,14",,"12,1","5,9",tuc
00580,potiron,potirons,Potiron,127,"< 0,5","< 0,3","5,66","4,8",2,,"< 0,01",,potiron
00581,tourteau,tourteaux,Tourteau,520,"19,5","4,29","1,79",0,0,,"0,55","73,3",tourteau
00582,martini,martinis,Martini,,,,,,,,,,martini
00583,caramel,caramels,Caramel,560,"4,35","3,6","20,6",18,traces,,"1,93",12,caramel
00584,pancetta,pancettas,Pancetta,1420,"20,2","28,8","0,75","0,43",0,,"12,5","75,2",pancetta
00585,ratafia,ratafias,Ratafia,,,,,,,,,,ratafia
00586,rose,roses,Rose,,"0,77","0,14","6,2","6,2","1,6",,"0,021",0,rose
00587,jeune,jeunes,,,,,,,,,,,
00588,Pili,Pili,,,,,,,,,,,
00589,framboise,framboises,Framboises,206,"1,19","0,8","5,83","5,4","4,3",,"0,13",0,framboises
00590,arôme,arômes,Arôme,,"2,87","1,08","12,1","11,5","0,045",,"0,68",,arome
00591,chipirer,chipirers,,,,,,,,,,,
00592,glutamate,glutamates,Glutamate,,,,,,,,,,glutamate
00593,quinoer,quinoers,,,,,,,,,,,
00594,mandarine,mandarines,Mandarine,200,"0,81","< 0,5","9,17","8,6","1,7",,"< 0,01",0,mandarine
00595,risotto,risottos,Risotto,817,"5,93","5,16","30,9","0,58","0,7",,"2,49",,risotto
00596,chêne,chênes,Chêne,"59,3","1,13","< 0,5","1,03","0,6","1,8",,"< 0,01",,chene
00597,tarama,tarama,Tarama,2200,"6,75","54,8","3,19","0,75","0,74",,"4,61","65,2",tarama
00598,cracker,crackers,Cracker,1880,"8,5",12,75,"0,4","4,1",,"4,5",,cracker
00599,Chablis,Chablis,Chablis,,,,,,,,,,chablis
00600,mie,mies,,,,,,,,,,,
00601,seigle,seigles,Seigle,1450,"8,7","1,37","70,7","0,93","7,15",,"0,15",0,seigle
00602,lemon,lemons,,,,,,,,,,,
00603,edam,edam,Edam,1380,25,"25,5",traces,"< 0,25",0,,"16,9",89,edam
00604,morbier,morbier,Morbier,1480,"22,4","29,2",traces,traces,0,,"19,2",89,morbier
00605,gâteau,gâteaux,Gâteaux,,"5,27","17,8","53,5",32,"1,75",,"5,36","85,8",gateaux
00606,filo,filos,Filo,1220,"7,1",6,"50,8","0,18","1,9",,"1,47",0,filo
00607,Lambig,Lambigs,Lambig,,,,,,,,,,lambig
00608,artichaut,artichauts,Artichaut,,"3,2","0,18","4,92","0,99","5,4",,"0,036",0,artichaut
00609,courge,courges,Courge,,"0,66","0,26","5,06","2,53","1,4",,"0,062",0,courge
00610,litchi,litchis,Litchi,344,"1,13","< 0,5","16,1","15,7",2,,"< 0,01",0,litchi
00611,gombo,gombos,Gombo,,"1,87","0,21","2,01","2,01","2,5",,"0,045",0,gombo
00612,massalé,massalés,Massalé,,,,,,,,,,massale
00613,blini,blinis,Blini,,"5,98","11,2","33,7","3,14","2,35",,"3,19","24,7",blini
00614,Gewurztraminer,Gewurztraminer,Gewurztraminer,,,,,,,,,,gewurztraminer
00615,spaghettini,spaghettinis,Spaghettini,,,,,,,,,,spaghettini
00616,mesclun,mescluns,Mesclun,,2,0,"2,5",0,2,,0,,mesclun
00617,malibu,malibu,Malibu,,,,,,,,,,malibu
00618,ravioli,raviolis,Ravioli,837,"7,98","6,53","25,7","2,82","2,52",,"2,88",30,ravioli
00619,sorbet,sorbets,,,,,,,,,,,
00620,Philadelphia,Philadelphia,Philadelphia,,,,,,,,,,philadelphia
00621,yuzu,yuzus,Yuzu,,,,,,,,,,yuzu
00622,cacahuète,cacahuètes,Cacahuètes,,"25,4","52,5","16,1","10,5",5,,"10,4",0,cacahuetes
00623,kadaif,kadaifs,Kadaif,,,,,,,,,,kadaif
00624,baudroie,baudroies,Baudroie,,"6,16","34,2","57,1",56,1,,"21,3",23,baudroie
00625,fourme,fourmes,,,,,,,,,,,
00626,cocktail,cocktails,,,,,,,,,,,
00627,pomélo,pomélos,Pomélo,,"0,76","0,04","8,62",,1,,,0,pomelo
00628,nectarine,nectarines,Nectarine,,"1,16","0,31","8,9","7,89","1,7",,"0,025",0,nectarine
00629,tortil,tortils,Tortils,,,,,,,,,,tortils
00630,glace,glaces,Glace,,"2,5","8,4","26,1","21,9",< 3,,"5,44","39,3",glace
00631,fleuron,fleurons,,,,,,,,,,,
00632,liqueur,liqueurs,Liqueur,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0,liqueur
00633,kéfir,kéfir,Kéfir,,"3,13","3,5","4,5","3,62",0,,"2,33",14,kefir
00634,aillet,aillets,Aillet,,,,,,,,,,aillet
00635,crozet,crozets,Crozet,,,,,,,,,,crozet
00636,sardine,sardines,Sardine,683,"19,5","9,48",traces,0,0,,"2,4","78,9",sardine
00637,gressin,gressins,Gressin,1800,"13,9","11,8","65,3","2,06","5,16",,"2,78",,gressin
00638,hareng,harengs,Hareng,840,23,"12,1",traces,0,0,,"3,51",57,hareng
00639,datte,dattes,Datte,,"1,81","0,25","64,7","64,7","7,3",,"0,075",0,datte
00640,rave,raves,,,,,,,,,,,
00641,choucroute,choucroutes,Choucroute,310,"1,38","6,6","< 0,1","< 0,2","4,5",,"2,02","8,44",choucroute
00642,selle,selles,,,,,,,,,,,
00643,saucisson,saucissons,Saucisson,1290,"14,7","17,4","22,6","3,8",2,,"8,6","86,4",saucisson
00644,jambonneau,jambonneaux,Jambonneau,618,"20,2","7,31","0,28","0,28",0,,"2,4",,jambonneau
00645,fajita,fajitas,Fajitas,665,"12,7","4,5",16,"2,2","1,4",,"1,96","30,6",fajitas
00646,nem,nems,Nem,904,"6,48","11,2","21,1","3,02","2,54",,"2,9",28,nem
00647,ramen,ramens,Ramen,,,,,,,,,,ramen
00648,citrouille,citrouilles,Citrouille,,1,"0,1",6,"2,76","0,5",,"0,052",0,citrouille
00649,brochet,brochets,Brochet,425,"23,1","0,88",traces,0,0,,"0,15",50,brochet
00650,dashi,dashis,Dashi,,,,,,,,,,dashi
00651,nori,noris,Nori,1060,"31,5","1,63","10,5",,"36,3",,,,nori
00652,clovisse,clovisses,Clovisse,,,,,,,,,,clovisse
00653,galanger,galangers,,,,,,,,,,,
00654,pigeonneau,pigeonneaux,Pigeonneau,,,,,,,,,,pigeonneau
00655,Golden,Goldens,,,,,,,,,,,
00656,panko,pankos,,,,,,,,,,,
