Ingrédient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g)
Aromate,206,"3,58","0,8","4,15","1,99","5,64",,"0,2",0
Arôme,,"2,87","1,08","12,1","11,5","0,045",,"0,68",
Arôme amande amère,,"22,6","51,3","9,51","4,2","12,5",,"4,11",0
Arôme caramel,560,"4,35","3,6","20,6",18,traces,,"1,93",12
Arôme cerise,235,"0,81","< 0,3",13,10,"1,6",,"< 0,01",0
Arôme citron,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0
Arôme coco,1650,"6,22","2,82","83,2","29,7","3,19",,"1,5",0
Arôme de café,489,"2,87","3,69","17,8",14,"0,042",,"2,5",
Arôme de fraise,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Arôme de légumes,"22,7","0,34","0,16","0,65","0,19",0,,"0,14",0
Arôme de noisettes,"22,7","0,34","0,16","0,65","0,19",0,,"0,14",0
Arôme de pistache,,17,"56,9","7,16","4,9","11,6",,"4,75",0
Arôme de rhum (sans alcool),369,"4,46","4,19","8,05","8,05",0,,"2,59",59
Arôme fleur d'oranger,,"0,29","0,08","8,79","8,79","0,18",,"0,005",
Arôme naturel d'orange,471,"26,8","0,4",0,0,0,,"0,086",50
Arôme naturel de citron,,"0,25","0,23","1,24","1,24","0,45",,"0,026",0
Arôme vanille,,"0,1","0,33",99,"97,2","0,37",,"0,053",
Arôme violette,,"2,5","0,3","2,5",,"1,8",,"0,07",0
Arquebuse,,,,,,,,,
Arrow root,,,,,,,,,
Artichaut,,"3,2","0,18","4,92","0,99","5,4",,"0,036",0
Artichaut violet,,"3,2","0,18","4,92","0,99","5,4",,"0,036",0
Artichauts camus,,"3,2","0,18","4,92","0,99","5,4",,"0,036",0
Asafoetida,,,,,,,,,
Ashwagandha,,,,,,,,,
Aspartame,904,"6,35",0,"69,3","6,65","2,2",,0,
Asperge,,"2,46","0,27","2,03","1,5","2,15",,"0,069",0
Asperge blanche,"78,1","1,44","0,3","1,63","1,2","1,3",,"0,1",
Asperge verte,112,"2,69","0,3","1,73","1,3","2,2",,"0,07",
Aspérule,,,,,,,,,
Assaisonnement pour sushi,722,"6,69","3,7","26,9","4,93","0,9",,"0,6","13,1"
Asti spumante,,,,,,,,,
Atriau,,,,,,,,,
Attiéké,,,,,,,,,
Aubergine,,"1,12","0,14","2,39","2,39","2,7",,"0,034",0
Autres,,"6,1","27,6","60,5","21,6","2,06",,"14,4","11,7"
Autruche,666,"20,2","8,7",0,0,0,,,71
Avocat,843,"1,56","20,6","0,83","0,4","3,6",,"4,51","< 0,5"
Avoine,1570,"18,1","6,9","55,7","1,2","10,6",,"1,22",0
Baba,708,"2,83","3,86","23,6","18,2","0,87",,"2,77",
Babeurre,,,,,,,,,
Babybel,1260,"21,3","23,7",traces,traces,0,,"16,3",
Bacardi,,,,,,,,,
Bacon,500,"23,1","2,6","0,7","< 0,2",0,,"1,02","47,2"
Bagel,1140,"10,2","3,98","47,3","5,36","3,42",,"1,02",0
Baguette,1200,"9,06","1,4","58,3","2,3","2,7",,"0,45","0,075"
Baie d'amélanchier,,"0,64","0,5","11,4",,7,,"0,028",0
Baie d'églantier,,"0,64","0,5","11,4",,7,,"0,028",0
Baie de cardamome,1340,"10,8","6,7","40,5",,28,,,0
Baie de genévrier,,"0,64","0,5","11,4",,7,,"0,028",0
Baie de Sichuan,,"0,64","0,5","11,4",,7,,"0,028",0
Baie de sureau,,"0,64","0,5","11,4",,7,,"0,028",0
Baie moulu,1660,"14,4","15,4","40,2",,"19,8",,,0
Baie rouge,"60,7","0,94","< 0,5","1,53","1,1","1,4",,"< 0,01",0
Baies d'argousier,,"0,64","0,5","11,4",,7,,"0,028",0
Baies de goji,,"0,64","0,5","11,4",,7,,"0,028",0
Baies de myrte,,"0,64","0,5","11,4",,7,,"0,028",0
Baies de poivre vert,1480,"10,1","34,6","1,45",,traces,,,
Baies roses,,"0,77","0,14","6,2","6,2","1,6",,"0,021",0
Bailey's,,,,,,,,,
Baking powder,,,,,,,,,
Bambou,,"1,61","0,15","1,9","1,15","1,25",,"0,041",0
Banane,383,"1,06","< 0,5","19,7","15,6","2,7",,"< 0,01",0
Banane plantain,,"1,28","0,39","29,6",,"2,3",,"0,14",0
Banania,,,,,,,,,
Banon,,,,,,,,,
Banyuls,,,,,,,,,
Bar,350,"19,1","0,7",traces,0,0,,"0,2","47,6"
étoile de badiane,1480,0,"0,2","86,3",,"0,55",,"0,039",0
Barbe-à-papa,,"1,7","5,53","11,9","2,27","0,9",,"3,03",
Barbeau,,,,,,,,,
Barbue,,,,,,,,,
Barde de lard,3330,"2,92","88,7",0,0,0,,"32,2",57
Bardière,3060,"4,51","80,6","0,1","0,1",0,,"28,7",
Barre bretonne marbrée,,"5,76",23,"50,5","27,9","1,75",,"6,11","99,8"
Barre chocolatée,1890,"6,55","14,9",73,"32,9","4,5",,"7,37","3,3"
Barre chocolatée kinder,2300,"8,75","34,2","50,9","43,3","1,7",,"16,6","9,46"
Basilic,145,"3,35","0,47","2,55","0,37","3,47",,"0,13",0
Basilic citron,145,"3,35","0,47","2,55","0,37","3,47",,"0,13",0
Basilic frais,145,"3,35","0,47","2,55","0,37","3,47",,"0,13",0
Basse-côte,837,19,"13,2","1,45","< 0,5",0,,"5,94",
Bastogne,,,,,,,,,
Batavia,"74,6","1,25","< 0,5","1,78","1,1","2,1",,"< 0,01",
Bâtonnets au chocolat blanc,,"6,16","34,2","57,1",56,1,,"21,3",23
Baudroie,,"6,16","34,2","57,1",56,1,,"21,3",23
Bavette,285,"15,1","0,74",traces,0,"< 0,2",,"0,2",25
Beaufort,1710,26,34,traces,0,0,,"19,2",
Beaujolais,,,,,,,,,
Beaumes de Venise,1480,0,"0,2","86,3",,"0,55",,"0,039",0
Bécasse,,,,,,,,,
Béchamel,,"2,56","7,4","6,2","3,1","1,3",,"4,61",30
Beef steak,787,"23,1","10,5","< 0,1","< 0,2","< 1,5",,"4,54","75,5"
Beignet de calamar surgelé,1050,"8,69","14,4","21,2","2,58","1,66",,"1,77",90
Bélangère,,,,,,,,,
Bénédictine,,,,,,,,,
Beni Shôga (gingembre mariné),1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0
Bergamote,,,,,,,,,
Bergerac,,,,,,,,,
Berkoukes,,,,,,,,,
Bernique,,,,,,,,,
Bètcheye,,,,,,,,,
Bette à carde,"61,1","0,7","< 0,5","1,23","0,8","2,5",,"< 0,01",0
Betterave,180,"1,44","0,4","7,13","6,7","2,5",,"0,15",0
Betterave jaune cuite,1410,16,"30,1","1,31","0,55",0,,"8,49",612
Betterave rouge de taille moyenne,1410,16,"30,1","1,31","0,55",0,,"8,49",612
Beurre,180,"1,44","0,4","7,13","6,7","2,5",,"0,15",0
Beurre allégé,1610,"< 0,5","41,7","3,6","1,26",0,,"26,2","84,5"
Beurre blanc,,"1,13","21,4","3,4","1,35","< 0,5",,"11,9",
Beurre d'amande,1800,7,"13,5","70,3","60,1","2,8",,"1,05",0
Beurre d'arachide,3700,"< 0,5","99,9",0,0,0,,"16,2",0
Beurre d'escargot,3700,"< 0,5","99,9",0,0,0,,"16,2",0
Beurre de cacahuètes,,"25,4","52,5","16,1","10,5",5,,"10,4",0
Beurre de cacao,3700,0,100,0,0,0,,"59,7",0
Beurre demi-sel,3030,"0,72","81,4","0,55","0,39",0,,"54,9",218
Beurre doux,158,"< 0,5","< 0,6","5,09","4,61",0,,0,
Beurre salé,3010,"0,5","80,8","0,68",traces,0,,"52,9",245
Beurre tendre,3100,"0,7","83,4","0,5",,0,,,
Bicarbonate,"1,7","0,1",0,0,0,0,,0,0
Biche,,,,,,,,,
Bière,,"0,63",0,"3,2",,0,,0,0
Bière blonde,,"0,63",0,"3,2",,0,,0,0
Bière brune,,"0,43",traces,"4,1","4,1",0,,traces,0
Bifteck haché,963,"23,8","15,1","0,0018",0,0,,"6,65","77,5"
Bigarade,,,,,,,,,
Bigorneau,963,"23,8","15,1","0,0018",0,0,,"6,65","77,5"
Bille de décoration sucré,,0,0,"99,8","99,8",0,,0,0
Billes de chocolat,2320,"7,81","36,1","45,3","39,5","7,39",,"22,3","11,5"
Billes de mozzarella,949,"16,1","17,7","0,75","0,7",0,,"11,7",79
Billes multicolores,,"0,5",5,93,91,"0,5",,4,
Bimi (ou broccolini),725,"17,9","7,48","8,45",,0,,"1,88",260
Biscotte,1660,"12,9","7,22","66,7","5,4","7,08",,"2,51",0
Biscuit,,"6,43","26,9","61,7","34,3","2,71",,"14,2",
Biscuit amaretti,,"6,43","26,9","61,7","34,3","2,71",,"14,2",
Biscuit anglais,949,"11,6","1,88","39,6","4,25","3,18",,"0,42",
Biscuit breton,,"5,13",8,32,"21,5","3,4",,"4,79","68,4"
Biscuit brioché,1490,"8,13","11,8","52,7","12,7","2,2",,"5,01","59,3"
Biscuit cuiller,,"6,43","26,9","61,7","34,3","2,71",,"14,2",
Biscuit Petit Brun,,"7,81","16,3","65,8",21,"5,5",,"2,83","2,91"
Biscuit rose de Reims,,"0,77","0,14","6,2","6,2","1,6",,"0,021",0
Biscuit sablé,,"8,38","22,9","59,4",,"3,3",,,98
Biscuit salé,3010,"0,5","80,8","0,68",traces,0,,"52,9",245
Biscuit thé de lu,"0,26",0,"0,007",0,0,0,,"0,002",0
Biscuits à la cuillère,"0,26",0,"0,007",0,0,0,,"0,002",0
Biscuits apéritifs,,"7,98","3,77","79,9","47,9","1,37",,"0,99",109
Biscuits secs,,"6,9","20,6",65,"24,7","2,03",,"6,09",65
Bison,,,,,,,,,
Bisque de homard,385,"19,6","1,32","0,11",0,0,,"0,21",128
Bitter italien,,"0,068","0,066","8,28","7,38","0,05",,0,0
Blanc d'oeuf,201,"10,3","0,17","1,12","0,7",0,,0,0
Blanc de dinde,3690,0,"99,8",0,0,0,,"29,4",102
Blanc de faisan,3690,0,"99,8",0,0,0,,"29,4",102
Blanc de poireau,114,"2,56","< 0,3","2,23","1,8","3,4",,"< 0,01",
Blanc de poulet,734,"4,44","3,19","31,5","3,48","0,99",,"0,52",
Blanquette de dinde,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6"
Blanquette de veau,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6"
Blé,887,"8,03","1,27","41,4",,"1,1",,"0,21",0
Blette,"61,1","0,7","< 0,5","1,23","0,8","2,5",,"< 0,01",0
Bleu,1030,"26,5","15,5",traces,0,0,,,
Bleu d'Auvergne,1430,22,"28,4",traces,0,0,,19,59
Bleu de Bresse,1420,17,"30,5",traces,0,0,,"19,4",91
Bleu de gex,1520,"22,1","30,7",traces,traces,0,,"20,2",
Bleu des causses,1460,20,30,traces,0,0,,19,103
Blini,,"5,98","11,2","33,7","3,14","2,35",,"3,19","24,7"
Bocconcini,,,,,,,,,
Boeuf,355,"8,93","3,3","4,17","1,57","1,25",,"0,88",64
Boeuf haché,963,"23,8","15,1","0,0018",0,0,,"6,65","77,5"
Bois d'Inde,0,0,0,0,0,0,,0,0
Bois-bandé,0,0,0,0,0,0,,0,0
Boisson aux amandes,,"4,9","14,9","37,7","21,2","2,3",,"7,2","64,8"
Boisson pétillante au cola,,"2,87","1,08","12,1","11,5","0,045",,"0,68",
Boisson végétale,,"0,11","0,042","7,42","7,26","0,025",,"0,0074","0,06"
Boîte de thon à l'huile,946,"23,4","14,8",0,"< 0,25",0,,"1,62",38
Bok choy,"74,4","1,69","< 0,3","1,7","0,4","1,3",,"< 0,01",
Bolet,,,,,,,,,
Bonbon,,"1,75","6,32","86,5","64,4","0,63",,"3,79",0
Bonbon arlequin,,"1,75","6,32","86,5","64,4","0,63",,"3,79",0
Bonbon au chocolat,,"6,5","29,4","55,1","42,9","4,92",,"17,8","2,81"
Bonbon caramel,560,"4,35","3,6","20,6",18,traces,,"1,93",12
Bonbon fil rouge,,"1,75","6,32","86,5","64,4","0,63",,"3,79",0
Bonbons à la violette,,"2,5","2,9","4,1","1,19","1,9",,"1,82",
Bonite,675,"22,3","8,01",traces,0,0,,"2,11",
Bonite séchée,675,"22,3","8,01",traces,0,0,,"2,11",
Bonnet,,,,,,,,,
Bordeaux,,,,,,,,,
Bouchée à la reine,1040,"6,42","16,3","18,4","2,52","1,35",,"8,53","40,2"
Bouchée feuilletée,1260,"8,39","17,8","26,1","3,03","1,65",,"10,1","39,1"
Boudin,1020,"11,3","19,4","4,02","2,6",0,,"7,2","70,1"
Boudin antillais,,"11,5","16,5","9,2","5,1",,,"6,9",
Boudin blanc,,10,21,,"3,64",,,"7,89",
Boudin noir,1300,"12,2","27,1","4,5","1,12","1,42",,"9,57","82,5"
Boudoir,,"7,98","3,77","79,9","47,9","1,37",,"0,99",109
Bouillon,832,"10,8","3,1","30,9","2,2",0,,"1,08","12,8"
Bouillon de boeuf,974,"11,3","11,5","20,8","5,38","0,58",,"6,75",
Bouillon de légumes,"22,7","0,34","0,16","0,65","0,19",0,,"0,14",0
Bouillon de poule,974,"11,3","11,5","20,8","5,38","0,58",,"6,75",
Bouillon de veau,,"11,3","11,5","20,8","5,38","0,58",,"6,75",
Bouillon de volaille,974,"11,3","11,5","20,8","5,38","0,58",,"6,75",
Boule blanche,143,"< 0,5","< 0,6","0,43","0,18",0,,,
Boulette de boeuf,1480,"20,5",30,traces,traces,0,,"19,8","83,1"
Boulettes de viande,1480,"20,5",30,traces,traces,0,,"19,8","83,1"
Boulgour,699,"4,06","8,3","17,4","4,61","3,3",,"0,92",
Bounty,1990,"3,88","23,8","60,2",53,3,,"18,3","5,5"
Bouquet garni,,"22,8","1,27",,,0,,"0,22",209
Bouquetin,,,,,,,,,
Bourbon,,,,,,,,,
Bourgeois,,,,,,,,,
Bourgogne,,,,,,,,,
Bourguignon,,"1,25","43,9","7,85","5,23","0,52",,"3,59",32
Bourrache,,,,,,,,,
Boursault,,,,,,,,,
Boursin,1510,"7,5","35,3","4,24","1,86",0,,"23,9","69,3"
Bouton de chèvre,241,"3,15","3,2","4,01","4,01",0,,"2,16","12,1"
Boyau,,,,,,,,,
Boyau pour saucisse,1170,"17,3",23,"0,88","0,65","0,29",,"9,44","78,5"
Branche de sapin,70,"0,75","< 0,3","2,48","1,7","1,5",,"< 0,01",
Brandade,491,"6,39","6,15","8,57","1,62","1,1",,"3,68",31
Brandy,,,,,,,,,
Brède chouchou,,"0,72","0,12","2,8","1,66","1,7",,"0,028",0
Brède Mafane,"74,4","1,69","< 0,3","1,7","0,4","1,3",,"< 0,01",
Bresaola,697,"31,6","4,3",0,0,0,,"2,04",65
Bresse Bleu,1420,17,"30,5",traces,0,0,,"19,4",91
Bretzel,1380,"10,1","7,1","54,6","3,58","3,8",,"0,95",
Brick,1060,"10,4","18,1","12,3","1,6","0,5",,,264
Brie,1240,"16,9","25,5",traces,0,0,,"16,3","95,8"
Brie de coulommiers,1160,"18,4","22,8",traces,0,0,,"15,8",85
Brie de meaux,1130,21,"20,7",traces,"< 0,2",0,,"14,5","83,6"
Brillat-savarin,1550,"9,69","37,5",traces,0,0,,"25,1",122
Brioche,1490,"8,13","11,8","52,7","12,7","2,2",,"5,01","59,3"
Briochette,1460,"8,56","11,2","51,6",17,3,,"0,92","42,8"
Brique,1220,"19,4","23,8",traces,"< 0,05",0,,16,"91,8"
Brisures de marrons glacés,1370,"0,94","< 0,5","79,5","56,6","0,9",,"< 0,01",
Brisures de truffe,,"5,77","0,51",,"0,7","8,5",,"0,11",0
Brocciu,,,,,,,,,
Brochet,425,"23,1","0,88",traces,0,0,,"0,15",50
Brocoli,,"2,1","0,78","1,1","1,1","1,5",,"0,2",0
Brousse,,,,,,,,,
Broute,,,,,,,,,
Brownie,1910,"5,94","25,4","50,6","35,1","3,4",,"7,32","67,6"
Brugnon,,"1,16","0,31","8,9","7,89","1,7",,"0,025",0
Brunost,,,,,,,,,
Bucatini,,,,,,,,,
Bûche,949,"2,42","10,4",30,"25,6","1,54",,"7,1",
Bûche chavroux,,"10,6","12,2","2,41","2,41",0,,"8,08","44,5"
Bûche de chèvre,1190,"18,4","23,3",traces,traces,0,,"16,2","95,9"
Bûche de chèvre cendrée,1190,"18,4","23,3",traces,traces,0,,"16,2","95,9"
Bulot,555,"23,8","0,57","7,61",0,0,,"0,031",65
Burrata,,,,,,,,,
Butternut,,"1,23","0,07",,,,,"0,014",0
Cabécou,1170,19,"22,6",traces,0,0,,"17,4",78
Cabillaud,420,"23,1","0,73",0,0,0,,"0,14","52,1"
Cacahuète grillée,,"21,7","47,4","18,6","7,74","10,1",,"5,52",0
Cacahuètes,,"25,4","52,5","16,1","10,5",5,,"10,4",0
Cacao,1610,"22,4","20,6","11,6","0,9","29,5",,"12,4",0
Cacao amer,,"0,73","0,43",,,,,,
Cacao en poudre,1610,"22,4","20,6","11,6","0,9","29,5",,"12,4",0
Cachaça,,,,,,,,,
Cachou,,,,,,,,,
Caciocavallo,,,,,,,,,
Cactus,,,,,,,,,
