Ingrédient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g)
Cèpes séchés,133,"3,13","0,43","3,03","1,7","1,93",,"0,071",0
Céréale,1690,"7,51","6,77",75,"24,4","4,98",,"2,42","0,85"
Cerf,632,"30,2","3,19",0,,0,,"1,25",112
Cerfeuil,167,"3,72","0,6","3,63","0,6","2,55",,"0,22",0
Cerise de terre,235,"0,81","< 0,3",13,10,"1,6",,"< 0,01",0
Cerise noire,235,"0,81","< 0,3",13,10,"1,6",,"< 0,01",0
Cerises,235,"0,81","< 0,3",13,10,"1,6",,"< 0,01",0
Cerneau de noix,3700,0,100,0,0,0,,10,0
Cerneaux de noix de pécan,,12,73,5,"4,9",3,,"7,1",
Cervelas,1150,"11,9","24,8","1,56","0,63","0,4",,"9,37","66,8"
Cervelle,551,"11,5","9,63",0,,0,,"2,18",3100
Chabichou,1230,"20,1","23,8",traces,"< 0,5",0,,"17,1","97,3"
Chablis,,,,,,,,,
Chair à saucisse,1340,"14,7","29,1","0,6",,0,,,
Chair à saucisse de canard,1340,"14,7","29,1","0,6",,0,,,
Chair d'alligator,1340,"14,7","29,1","0,6",,0,,,
Chair de homard,385,"19,6","1,32","0,11",0,0,,"0,21",128
Chair de tourteau,520,"19,5","4,29","1,79",0,0,,"0,55","73,3"
Chair persillée,180,"3,71","0,63","3,48","0,95","4,3",,"0,1",0
Chamallow,,,,,,,,,
Champagne,,"0,3",0,"2,81","1,4",0,,0,0
Champagne Demi-Sec,1470,"21,1","29,8",traces,0,0,,"20,6",79
Champignon,"91,2","2,37","0,23","1,88","1,43","1,72",,"0,055",0
Champignon de Paris brun,"91,2","2,37","0,23","1,88","1,43","1,72",,"0,055",0
Champignon frais,161,"4,44","0,6","4,53",traces,"0,9",,"0,18",0
Champignon noir,"91,2","2,37","0,23","1,88","1,43","1,72",,"0,055",0
Champignons de Paris,161,"4,44","0,6","4,53",traces,"0,9",,"0,18",0
Chanterelle,137,"2,28","0,78","2,3","1,87","4,23",,"0,5",0
Chaource,1150,17,"22,9",traces,"< 0,2",0,,"15,8",83
Chapelure,1560,"12,7","3,77",70,"6,9","4,5",,"0,94",0
Chapon,923,29,"11,7",0,,0,,"3,26",86
Charbon actif,,,,,,,,,
Charcuteries,991,"19,7","17,1","1,47","0,86","0,25",,"6,61",77
Charolais,,,,,,,,,
Chartreuse jaune,,"0,69","0,1","7,31","7,31","1,1",,"0,014",0
Chartreuse verte,123,2,"0,17",3,1,4,,"0,042",0
Châtaigne d'eau,,"2,13","2,23","36,5","7,86","7,45",,"0,37",0
Châtaignes,,"2,13","2,23","36,5","7,86","7,45",,"0,37",0
Chatrou,,,,,,,,,
Chaume,,,,,,,,,
Chaussée aux moines,,"0,1","0,1","4,4","4,38","0,1",,0,
Chayote,,"0,72","0,12","2,8","1,66","1,7",,"0,028",0
Cheddar,1660,"23,6","33,8",traces,0,0,,"19,5",102
Chêne,"59,3","1,13","< 0,5","1,03","0,6","1,8",,"< 0,01",
Chermoula,,,,,,,,,
Chester,,,,,,,,,
Cheval,711,"28,2","6,24",traces,,0,,"1,99",
Cheveux d'ange,,,,,,,,,
Chèvre,241,"3,15","3,2","4,01","4,01",0,,"2,16","12,1"
Chèvre frais,,"14,3","18,4","2,05","2,05",0,,"12,5","71,7"
Chevreau,573,"27,1","3,03",0,0,0,,"0,93",75
Chevreuil,632,"30,2","3,19",0,,0,,"1,25",112
Chevrotin,,,,,,,,,
Chicorée,1350,"3,3","2,5","57,2","21,7","29,2",,"0,75",0
Chili,494,"7,13","3,35",13,"2,58","3,56",,"1,13","14,6"
Chili en poudre,2420,"47,9",42,"3,11","0,3",0,,"13,1",1670
Chimère,,,,,,,,,
Chipiron,,,,,,,,,
Chipolata,1170,"18,8","22,4","0,8","0,4",0,,"8,27","75,2"
Chips,2270,"5,67","34,3","51,1","1,59","4,57",,"3,23","< 0,7"
Chips tortilla,686,"5,56","9,9","11,7","1,22","2,7",,"1,55","99,2"
Chips tortilla salée,686,"5,56","9,9","11,7","1,22","2,7",,"1,55","99,2"
Chlorure de sodium,1480,0,"0,2","86,3",,"0,55",,"0,039",0
Chocolat,2320,"7,81","36,1","45,3","39,5","7,39",,"22,3","11,5"
Chocolat,2320,"7,81","36,1","45,3","39,5","7,39",,"22,3","11,5"
Chocolat à la noisette,,17,"56,9","7,16","4,9","11,6",,"4,75",0
Chocolat à tartiner,1560,"13,5","2,85",70,"7,5",7,,"1,45",
Chocolat amer,,"0,73","0,43",,,,,,
Chocolat au caramel,495,"2,86","3,47","18,6","15,9","0,12",,"2,22",
Chocolat au lait,2240,"7,5","30,8","55,6","53,1","2,9",,"18,7","22,1"
Chocolat au riz soufflé,1630,"7,69",3,"80,5","0,73","2,9",,"0,54",
Chocolat aux noisettes,,17,"56,9","7,16","4,9","11,6",,"4,75",0
Chocolat blanc,,"6,16","34,2","57,1",56,1,,"21,3",23
Chocolat blond,,"26,1","1,9","48,3","1,4","12,1",,"0,32",
Chocolat chaud,,1,"14,8","4,8","1,76","1,13",,"1,91","19,5"
Chocolat de couverture,2320,"7,81","36,1","45,3","39,5","7,39",,"22,3","11,5"
Chocolat de Pâques,2320,"7,81","36,1","45,3","39,5","7,39",,"22,3","11,5"
Chocolat dulcey,2320,"7,81","36,1","45,3","39,5","7,39",,"22,3","11,5"
Chocolat en poudre,2420,"47,9",42,"3,11","0,3",0,,"13,1",1670
Chocolat Kinder,2300,"8,75","34,2","50,9","43,3","1,7",,"16,6","9,46"
Chocolat noir,,"6,63","33,8","42,9","38,3",12,,"22,5","1,45"
Chocolat noir corsé,,"6,63","33,8","42,9","38,3",12,,"22,5","1,45"
Chocolat noir fondu,,"6,63","33,8","42,9","38,3",12,,"22,5","1,45"
Chocolat pâtissier,1150,"5,51","12,2","34,3","20,9","2,31",,"9,03",
Chocolat praliné,,"9,1","34,7","51,5","46,2","2,1",,"13,6",
Chocolat smarties,2110,"5,49","24,3",65,"57,4","1,98",,15,"12,1"
Chocolat végétal,858,"13,4","7,1","20,8","3,97","3,1",,"0,73",
Chorizo,1970,"20,9","41,9","2,6","2,6",0,,16,111
Chou,149,3,"0,8","2,03","1,6","4,3",,"0,27",
Chou blanc,153,"1,38","0,6","4,63","4,2","3,5",,"0,27",0
Chou chinois,,"7,27","0,075",,0,,,0,
Chou de bruxelles,,"2,6","0,11","4,2","1,7","3,2",,"0,023",0
Chou frisé,,"1,9","0,4","3,63","1,25",2,,"0,052",0
Chou romanesco,149,3,"0,8","2,03","1,6","4,3",,"0,27",
Chou rouge,146,"1,19","< 0,3","5,7","4,5",3,,"< 0,01",
Chou vert,90,"1,63","< 0,3","1,83","1,4","3,3",,"< 0,01",
Chou-fleur,"87,3","1,6","0,46","1,6","1,59",2,,"0,097",0
Chou-rave,,"1,79","0,1","2,35","2,35","3,6",,"0,013",0
Chouchen,,,,,,,,,
Chouchou,,"0,72","0,12","2,8","1,66","1,7",,"0,028",0
Choucroute,310,"1,38","6,6","< 0,1","< 0,2","4,5",,"2,02","8,44"
Chouquette,1590,"7,76","18,6","42,6","27,1","6,1",,"9,89",191
Choux de Bruxelles,,"2,6","0,11","4,2","1,7","3,2",,"0,023",0
Choux raves,,"1,79","0,1","2,35","2,35","3,6",,"0,013",0
Christophine,,"1,23","0,023","4,6",,3,,,
Chutney,,,,,,,,,
Chutney au gingembre,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0
Chutney mangue,314,"0,63","< 0,5","14,3","12,9","1,6",,"< 0,01",0
Chutney papaye,178,"0,75","< 0,3","8,53","8,1","1,8",,"< 0,01",0
Ciabatta,,,,,,,,,
Ciboule,124,"2,57","0,52","2,1","1,75","3,19",,"0,15",0
Ciboulette,124,"2,57","0,52","2,1","1,75","3,19",,"0,15",0
Cidre,149,"< 0,5","< 0,6","5,34","4,96",0,,,
Cigale de mer,782,"8,4",14,"6,5","1,2","1,3",,"3,4","37,3"
Cigarette croustillante,,"5,29","27,5",63,38,1,,"17,5",
Cigarette russe,,"5,29","27,5",63,38,1,,"17,5",
Cinq parfums,689,"0,89","3,36","32,2","31,4","0,35",,"1,79",
Cinq-épices,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
Cinzano,,,,,,,,,
Citron,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0
Citron confit,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0
Citron de Menton,,"0,25","0,23","1,24","1,24","0,45",,"0,026",0
Citron vert,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0
Citronat,,,,,,,,,
Citronnelle,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0
Citrouille,,1,"0,1",6,"2,76","0,5",,"0,052",0
Cive,,,,,,,,,
Clairette de Die,1480,0,"0,2","86,3",,"0,55",,"0,039",0
Clams,420,"16,2","1,48","5,33",0,0,,"0,14","50,5"
Clémentine,200,"0,81","< 0,5","9,17","8,6","1,7",,"< 0,01",0
Clou de girofle,1390,"5,97",13,"31,6","2,38","33,9",,"3,95",0
Clovisse,,,,,,,,,
Cobia,,,,,,,,,
Cochon,,,,,,,,,
Coco de paimpol,775,"1,77","18,4","3,4","2,1","0,57",,"16,5",0
Coco en poudre,2420,"47,9",42,"3,11","0,3",0,,"13,1",1670
Coco plat,226,"10,2","0,9","1,16",0,0,,"0,17",98
Coeur,109,"1,8","< 0,5","2,31","1,2","3,2",,"< 0,01",
Coeur cochonnet,109,"1,8","< 0,5","2,31","1,2","3,2",,"< 0,01",
Coeur d'agneau,538,20,"5,13","0,48",0,0,,"1,97","72,7"
Coeur d'artichaut,,"2,08","0,43","8,09","1,89","7,54",,"0,1",
Coeur de boeuf,435,"18,5","2,95","0,7",0,0,,"0,74",137
Coeur de cabillaud,420,"23,1","0,73",0,0,0,,"0,14","52,1"
Coeur de canard,1630,"10,1","36,1","7,07","2,05","0,45",,"13,7",
Coeur de céleri,,"1,3","0,86","4,6","2,8","2,6",,,0
Coeur de mouton,550,"12,8","6,83","4,5","2,4",< 1,,"2,73","57,8"
Coeur de palmier,,"6,1","27,6","60,5","21,6","2,06",,"14,4","11,7"
Coeur de porc,1440,16,25,"14,1",1,"0,5",,"9,5",
Coeur de poulet,785,"24,8","9,52","0,7",0,0,,,133
Coeur de saumon,805,25,"10,3",traces,0,0,,,
Coeur de sucrine,"75,5","1,13","< 0,3","2,58","1,78","0,8",,"< 0,01",
Coeur de veau,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6"
Coeur de volaille,811,"18,6",13,"0,8",0,0,,2,"56,9"
Coeur en sucre,,"0,32","0,48","14,9","14,3","1,4",,"0,14",
Cognac,945,0,0,1,0,0,,,0
Cognac Fine Champagne,945,0,0,1,0,0,,,0
Coing,,"0,51","0,1","13,4","6,3","1,9",,"0,0085",0
Cointreau,,,,,,,,,
Cola,178,"0,093","0,062","10,2","10,2",0,,0,0
"Cola (coca cola, pepsi)",131,"0,089","0,059","7,45","7,41","0,00084",,0,0
Coleslaw,435,"0,94","8,1","5,78","4,72",3,,"0,63",
Colin,425,"24,4","< 0,5",traces,0,0,,"< 0,01","70,1"
Collet fumé,411,"22,6","0,73",0,0,0,,"0,13",77
Collier d'agneau,812,18,"13,7",traces,,0,,"5,79",
Collier de boeuf,978,"34,9","10,4",traces,,0,,"3,5",79
Colorant,,,,,,,,,
Colorant alimentaire,1400,"40,4","4,5","21,8","2,5","22,5",,"0,7","< 0,7"
Combava,,,,,,,,,
Compote,,"0,41","0,56","16,9","15,8","1,53",,"0,12",
Compote de pomme,432,"0,23","0,21","24,4","20,7","1,53",,"0,017",0
Comté,1740,"26,7","34,6",traces,traces,0,,"22,5",115
Concentré de coco,775,"1,77","18,4","3,4","2,1","0,57",,"16,5",0
Concentré de tomates,419,"4,4","0,53","17,1","13,3","4,2",,"0,093",0
Concentré pour soupe chinoise,143,"1,44","0,44","4,69","2,5","2,86",,"0,11",
Conchiglioni,,,,,,,,,
Concombre,"61,6","0,56","< 0,5","2,23","1,8","0,8",,"< 0,01",0
Condiment balsamique blanc,531,"0,69","< 0,6","25,8","19,1","0,5",,0,
Condiments,,,,,,,,,
Confisuc,,,,,,,,,
Confit d'oignon,1270,"< 0,5","< 0,3","72,3","62,9","3,3",,0,0
Confit de canard,1140,"25,7","18,8","0,15","0,14","0,4",,"7,26",132
Confit de courgettes,"64,9","0,93","0,36","1,4","1,39","1,5",,"0,1",0
Confiture,1050,"< 0,5","0,3","59,7","56,8","1,1",,"0,041",0
Confiture d'abricot,1050,"< 0,5","0,3","59,7","56,8","1,1",,"0,041",0
Confiture d'airelles,1050,"< 0,5","0,3","59,7","56,8","1,1",,"0,041",0
Confiture d'orange,,"0,29","0,08","8,79","8,79","0,18",,"0,005",
Confiture de banane,383,"1,06","< 0,5","19,7","15,6","2,7",,"< 0,01",0
Confiture de cassis,,"1,33","0,86","9,68","9,68","5,8",,"0,14",0
Confiture de cerise,,"0,38","0,16","60,9",60,"0,55",,traces,
Confiture de châtaigne,,"2,13","2,23","36,5","7,86","7,45",,"0,37",0
Confiture de figue,293,"1,19","< 0,5","13,5","12,2","4,1",,"< 0,01",0
Confiture de fraises,1060,"< 0,5","0,5","60,5","60,1","0,7",,"0,11",
Confiture de framboise,,"0,47","0,21",61,"59,5","0,95",,traces,
Confiture de fruits rouges,,"0,8","0,54","25,1","25,1","3,46",,"< 0,051",0
Confiture de groseille,289,"1,56","0,7","7,06","6,63","4,6",,"0,21",0
Confiture de lait,,"6,32","5,45",58,"51,7","0,58",,"2,87",23
Confiture de mandarine,,"0,47","0,21",61,"59,5","0,95",,traces,
Confiture de mangue,314,"0,63","< 0,5","14,3","12,9","1,6",,"< 0,01",0
Confiture de myrtilles,1040,"< 0,5","0,4","58,9","58,9","2,1",,"< 0,028",
Confiture de poire,,"0,49","0,27","10,9","9,01","2,9",,"0,067",0
Confiture de pomme,,"0,47","0,21",61,"59,5","0,95",,traces,
Confiture de prune,,"0,66","0,29","9,92","9,92","1,5",,"0,038",0
Confiture de rhubarbe,,"0,47","0,21",61,"59,5","0,95",,traces,
Congre,481,"18,3","4,6",traces,0,0,,,78
Consommé de gibier,908,"25,1",13,0,0,0,,"3,24",109
Contre-filet,0,0,0,0,0,0,,0,0
Cookie,,"6,47","25,9",59,"31,5","3,38",,"12,9","17,3"
Cookie chocolat,,"6,47","25,9",59,"31,5","3,38",,"12,9","17,3"
Copeaux de chocolat,511,"3,44","5,1","14,1",14,< 3,,"3,3","10,5"
Copeaux de chocolat blanc,,"6,16","34,2","57,1",56,1,,"21,3",23
Coppa,1180,25,20,1,"0,5",0,,"6,83",
Coq,555,13,7,4,1,"0,9",,1,65
Coquelet,,,,,,,,,
Coquelicot,,,,,,,,,
Coques,1650,"9,77","4,93","75,5","23,7","4,33",,"0,83",
Coquille saint-jacques,354,"17,9","0,84","1,15",0,0,,"0,094",38
Coquillettes,1400,"12,6","1,79","65,8","2,12",3,,"0,37",0
Cordon bleu,944,14,"12,2","14,6","2,2","0,78",,"3,2","37,5"
Coriandre,"92,6","2,13","0,52","0,87","0,87","2,8",,"0,014",0
Coriandre en grains,1430,"12,4","17,8",13,,"41,9",,"0,97",0
Corn flakes,1600,"7,4","0,87","83,2","9,53","3,48",,"0,28",0
Corned beef,787,"23,1","10,5","< 0,1","< 0,2","< 1,5",,"4,54","75,5"
Cornet,,"7,5",5,"80,4","25,6",2,,"4,1",
Cornet de glace,,"7,5",5,"80,4","25,6",2,,"4,1",
Cornette,,"7,5",5,"80,4","25,6",2,,"4,1",
Cornichon au vinaigre,"81,9","1,06","< 0,6","0,78","0,6","1,5",,"< 0,01",0
Cornichons,"81,9","1,06","< 0,6","0,78","0,6","1,5",,"< 0,01",0
Corossol,,"0,65","0,43",,,,,,
Cosses de petits pois,,"5,15","0,27","7,95","4,65","5,5",,"0,049",0
Côte d'agneau,1000,"17,6",18,"2,3",0,0,,"7,75",
Côte de boeuf,1130,"37,3","13,3",0,0,0,,"5,58",66
Côte de porc,885,"29,6","10,3",0,,0,,"4,11","82,4"
Côte de veau,657,"25,1","6,24",0,,0,,"2,11","89,5"
Côtelette d'agneau,1520,"14,4","34,5",0,0,0,,"16,8",82
Côtelette de veau,1520,"14,4","34,5",0,0,0,,"16,8",82
Cottage cheese,,,,,,,,,
Couche,118,"2,62","0,36","3,15","2,5",1,,"0,067",0
Coude,,,,,,,,,
Couenne,572,"19,4","6,3","0,55","< 0,2",0,,,
Couenne de panne,1410,"7,25",24,"21,7","1,9","3,4",,"5,28","49,3"
Coulemelle,,,,,,,,,
Coulis,,"2,05","0,2","8,53","5,5","2,6",,"0,08",
Coulis d'abricot,1050,"< 0,5","0,3","59,7","56,8","1,1",,"0,041",0
Coulis de cerise,1050,"< 0,5","0,3","59,7","56,8","1,1",,"0,041",
Coulis de fraise,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Coulis de framboise,206,"1,19","0,8","5,83","5,4","4,3",,"0,13",0
Coulis de fruits de la passion,,"1,08","0,37",,,,,,
Coulis de fruits rouges,,"0,8","0,54","25,1","25,1","3,46",,"< 0,051",0
Coulis de mangue,314,"0,63","< 0,5","14,3","12,9","1,6",,"< 0,01",0
Coulis de tomate,,"2,05","0,2","8,53","5,5","2,6",,"0,08",
Coulommier,1160,"18,4","22,8",traces,0,0,,"15,8",85
Courge,,"0,66","0,26","5,06","2,53","1,4",,"0,062",0
Courge musquée,129,"1,06","< 0,5","5,24",4,"1,8",,"< 0,01",
Courge spaghetti,,"0,66","0,26","5,06","2,53","1,4",,"0,062",0
Courgette,"64,9","0,93","0,36","1,4","1,39","1,5",,"0,1",0
Courgette jaune,"64,9","0,93","0,36","1,4","1,39","1,5",,"0,1",0
Courgette ronde,"64,9","0,93","0,36","1,4","1,39","1,5",,"0,1",0
Court bouillon de volaille,974,"11,3","11,5","20,8","5,38","0,58",,"6,75",
Court-bouillon,1080,5,23,7,"4,5","2,5",,16,
Couscous,659,5,1,31,"1,6","2,3",,"0,25",0
Couscous en sachets cuisson,659,5,1,31,"1,6","2,3",,"0,25",0
Couteau,,,,,,,,,
Crabe,,"18,3","3,8",,,0,,"1,14",115
Cracker,1880,"8,5",12,75,"0,4","4,1",,"4,5",
Cranberries,,,,,,,,,
Cream cheese,,,,,,,,,
Crema mandorla,,,,,,,,,
Crémant,,"0,3",0,"2,81","1,4",0,,0,0
Crème,319,"3,19","4,3","5,28","4,44",< 3,,"2,88",30
Crème allégée,335,"3,56","1,3","12,4","11,8",< 3,,"0,83",
Crème anglaise,443,"3,44","2,5","16,7","12,9",1,,"1,55","26,6"
Crème balsamique,531,"0,69","< 0,6","25,8","19,1","0,5",,0,
Crème chantilly,1270,"2,06","28,2","10,6","10,4",< 3,,"18,9",76
Crème d'amande,1800,7,"13,5","70,3","60,1","2,8",,"1,05",0
Crème d'anchois,319,"3,19","4,3","5,28","4,44",< 3,,"2,88",30
Crème de bananes,383,"1,06","< 0,5","19,7","15,6","2,7",,"< 0,01",0
Crème de cassis,1030,0,0,41,"40,9",0,,0,0
Crème de coco,775,"1,77","18,4","3,4","2,1","0,57",,"16,5",0
Crème de fruit de la passion,,"1,08","0,37",,,,,,
Crème de marrons,,"1,13","0,7","59,8",43,"3,2",,0,
Crème de mûre,198,"1,13","0,7","6,53","6,1","5,2",,"0,07",0
Crème de riz,319,"3,19","4,3","5,28","4,44",< 3,,"2,88",30
Crème de soja,,"3,25","14,7","2,03","1,6",,,"1,65",
Crème de tartre,319,"3,19","4,3","5,28","4,44",< 3,,"2,88",30
Crème de truffe,,"5,77","0,51",,"0,7","8,5",,"0,11",0
Crème de whisky (baileys),1050,0,0,"0,096","0,096",0,,0,0
Crème dessert à la vanille,444,3,"3,6","14,4","14,2",< 3,,"2,48",
Crème dessert au chocolat,548,"3,32","3,93","19,9","16,5","0,72",,"2,6","10,7"
Crème entière,319,"3,19","4,3","5,28","4,44",< 3,,"2,88",30
Crème épaisse,319,"3,19","4,3","5,28","4,44",< 3,,"2,88",30
Crème fleurette,319,"3,19","4,3","5,28","4,44",< 3,,"2,88",30
Crème fouettée,319,"3,19","4,3","5,28","4,44",< 3,,"2,88",30
Crème fraîche,1180,"11,1","1,87","53,8","2,54","3,17",,"0,49","48,6"
Crème fraîche allégée,335,"3,56","1,3","12,4","11,8",< 3,,"0,83",
Crème fraîche épaisse,1180,"11,1","1,87","53,8","2,54","3,17",,"0,49","48,6"
Crème fraîche liquide,1180,"11,1","1,87","53,8","2,54","3,17",,"0,49","48,6"
Crème liquide,319,"3,19","4,3","5,28","4,44",< 3,,"2,88",30
Crème pâtissière,504,"3,79","3,6",18,"15,3",0,,"1,76",123
Crème semi-épaisse,319,"3,19","4,3","5,28","4,44",< 3,,"2,88",30
Crème végétale,319,"3,19","4,3","5,28","4,44",< 3,,"2,88",30
Crème végétale à l'épeautre,,"4,5","22,9","25,2","16,7","< 0,5",,"14,5","92,5"
Crêpe,,"8,5","14,1","58,1","28,1","1,3",,"6,51","54,7"
Crêpe dentelle,,"6,27","15,5","72,1","36,7","1,7",,"10,2",
Crêpes Dentelle au chocolat au lait,,"5,91","21,8","67,9","42,4","3,45",,"13,5",
Crêpes Dentelle au chocolat noir,,"5,91","21,8","67,9","42,4","3,45",,"13,5",
Crépidule,,,,,,,,,
Crépine,,,,,,,,,
Crépinette,,,,,,,,,
Cresson,,"2,25","0,1",traces,,"2,1",,,
Cressonnette,,,,,,,,,
Crevette bouquet,,"22,8","1,27",,,0,,"0,22",209
Crevette grise,381,"18,3","1,2","1,47",,0,,"0,31",164
Crevette rose,392,"21,9","0,53",0,,0,,"0,11",112
Crevette tigrée,,"23,4","0,98",,,0,,"0,19",205
Crevettes,397,19,"1,16","1,87","< 0,25",0,,"0,31",159
Croissant,1560,"7,29",20,"40,4","8,83","2,32",,"11,6","26,5"
Croquant de Cordes,,7,11,69,"22,4","8,4",,"3,18",
Crosne de fougère,215,"2,13","< 0,5","9,11","0,2","1,9",,"< 0,01",
Crottin de Chavignol,1240,"19,3","24,4",traces,"< 0,5",0,,"16,2","92,9"
Crottin de chèvre,1420,"21,9",28,traces,"< 0,25",0,,"19,6",111
Croûte de fromage,1130,"8,25","3,8","49,5","9,2",3,,"0,35",
Croûton à l'ail et aux fines herbes à l'ancienne,612,"9,5","11,2","1,98","0,8","0,55",,"3,6",301
Croûtons,2060,"9,19","24,1","59,1",4,"2,6",,"4,3",
Crozet,,,,,,,,,
Crumble,,"2,19","9,5","33,8",19,"1,7",,"6,25","< 0,5"
Crunch,,,,,,,,,
Cuajada,,,,,,,,,
Cube de bouillon,832,"10,8","3,1","30,9","2,2",0,,"1,08","12,8"
Cube Maggi,832,"10,8","3,1","30,9","2,2",0,,"1,08","12,8"
Cube pot au feu,326,"10,9","2,02","3,2","1,5","1,5",,"0,82","28,8"
Cuberdon,,,,,,,,,
Cuisse de canard,433,"18,7","3,1",traces,,0,,"1,05",
Cuisse de dinde,461,"21,3","2,5","0,4","0,1",0,,"0,68",79
Cuisse de grenouille,,"21,9","0,9",,,0,,"0,3","49,7"
Cuisse de lapin,697,"20,5","9,2","0,5",,0,,"3,42","75,9"
Cuisse de poulet,785,"24,8","9,52","0,7",0,0,,,133
Cumin,1780,"17,8","22,3","33,7","2,25","10,5",,"1,54",0
Cumin en poudre,1780,"17,8","22,3","33,7","2,25","10,5",,"1,54",0
Curaçao,,,,,,,,,
Curaçao bleu,1030,"26,5","15,5",traces,0,0,,,
Curcuma,1220,"9,68","3,25","44,4","3,21","22,7",,"1,84",0
Curé nantais,,,,,,,,,
Curry,1230,"14,5",14,"2,63","2,63","53,2",,"1,65",0
Cynorhodon,,,,,,,,,
Daikon,,,,,,,,,
Daim,,,,,,,,,
Dakatine,,,,,,,,,
Danette,559,"3,35","5,1","17,9","15,7","0,85",,"3,3",35
Dashi,,,,,,,,,
Datte,,"1,81","0,25","64,7","64,7","7,3",,"0,075",0
Daucus de Crête,1480,0,"0,2","86,3",,"0,55",,"0,039",0
Daurade,512,"22,9","3,3",traces,0,0,,"0,75",67
Daurade de Méditerranée de 1.5 kg,290,"10,7","1,67","2,77",,0,,,
Décor en sucre,,"0,32","0,48","14,9","14,3","1,4",,"0,14",
Dés de jambon,508,"17,9","4,46","2,08","1,69","0,36",,"1,81",
Digestive,,,,,,,,,
Dinde,524,"28,5","1,09",0,,0,,"0,51","72,5"
Dindonneau,,,,,,,,,
Diot,,18,30,,,0,,,
Disque de pâte pour gyozas,,"3,11","9,53","4,24","0,68","1,4",,7,
Divers,,"0,35","0,17","61,6","61,6","1,28",,"< 0,033",
Djansan,,,,,,,,,
Dorade,512,"22,9","3,3",traces,0,0,,"0,75",67
Doré,,,,,,,,,
Dos de cabillaud,420,"23,1","0,73",0,0,0,,"0,14","52,1"
Doubanjiang,,,,,,,,,
Double concentré de tomates,392,"3,73","0,29",17,"16,5","3,62",,0,
Dragée,,5,"17,2","73,9","71,9",0,,"1,39",0
Dragibus (bonbons),,"1,75","6,32","86,5","64,4","0,63",,"3,79",0
Dragibus®,,,,,,,,,
Eau,0,0,0,0,0,0,,0,0
Eau,0,0,0,0,0,0,,0,0
Eau de coco,"63,5","< 0,5","< 0,3","3,33","2,48","< 0,5",,"< 0,01",0
Eau de fleur d'oranger,0,0,0,0,0,0,,0,0
Eau de rose,0,0,0,0,0,0,,0,0
Eau de vie de poire,950,0,0,"0,37",0,0,,0,0
Eau gazeuse,0,0,0,0,0,0,,0,0
échalote,282,2,"0,4","12,3","3,8","2,9",,"0,12",
échine de porc,1230,"26,2","21,2","< 0,1",0,0,,,"58,4"
éclats d’amandes,1770,3,"6,5","85,4",62,3,,1,
éclats de noisettes,,17,"56,9","7,16","4,9","11,6",,"4,75",0
écorce d'orange,,"0,29","0,08","8,79","8,79","0,18",,"0,005",
écorce de citron,,"0,25","0,23","1,24","1,24","0,45",,"0,026",0
écorces d'oranges confites,,"0,2","0,2","82,7","82,7","1,1",,"0,02",0
écorces d'oranges confites,,"0,2","0,2","82,7","82,7","1,1",,"0,02",0
écrevisse,312,"16,3","0,7","0,56","< 0,25",0,,"0,17",116
Edam,1380,25,"25,5",traces,"< 0,25",0,,"16,9",89
Edamame,,,,,,,,,
édulcorant,,"0,18","0,037","5,47","5,25","0,11",,"0,0067",
églantine,,,,,,,,,
églefin,377,"20,9","0,6",traces,0,0,,"0,1",38
Elbot fumé,411,"22,6","0,73",0,0,0,,"0,13",77
émincé de porc,1440,16,25,"14,1",1,"0,5",,"9,5",
Emmental,1560,"27,3","28,8",traces,traces,0,,"19,7",96
Emmental râpé,1540,"27,5","28,6",traces,"< 0,25",0,,"18,1",107
Empereur,311,15,"1,5",traces,0,0,,"0,3",
Encornet,632,"32,5","1,4","1,64",,0,,"0,24",224
Endive,"99,5","1,13","< 0,3","4,38","3,2","< 0,5",,"< 0,01",
Endive Carmine®,"99,5","1,13","< 0,3","4,38","3,2","< 0,5",,"< 0,01",
Endive rouge,"99,5","1,13","< 0,3","4,38","3,2","< 0,5",,"< 0,01",
"Energy drink (red bull, pitbull, duff)",,"0,2",0,"11,9","11,7","0,1",,0,0
Entrecôte,711,"28,2","6,24",traces,,0,,"1,99",
épaule,698,"27,6","6,17",traces,,0,,"2,07",
épaule d'agneau,582,"19,6","6,76",0,0,0,,"2,42",66
épaule de biche,698,"27,6","6,17",traces,,0,,"2,07",
épaule de sanglier,643,"28,3","4,38",0,0,0,,"1,3",77
épaule de veau,698,"27,6","6,17",traces,,0,,"2,07",
épeautre,1430,"15,6","2,43","59,5","6,68","10,7",,"0,41",0
